序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
246,臺北市,2014/08/31,中山,4.2,0.51,30.0,51.0,-,27,4.72,22.05,1.91,30.75,-,67.14
247,臺北市,2014/08/30,中山,-,-,-,-,19,-,-,-,-,-,-,-
248,臺北市,2014/08/30,中山,3.2,0.48,24.8,47.0,-,26,6.02,20.23,1.87,31.29,-,64.93
249,臺北市,2014/08/29,中山,-,-,-,-,12,-,-,-,-,-,-,-
250,臺北市,2014/08/29,中山,1.5,0.47,10.1,39.0,-,26,10.81,15.68,2.39,32.39,-,58.36
251,臺北市,2014/08/28,中山,-,-,-,-,21,-,-,-,-,-,-,-
252,臺北市,2014/08/28,中山,4.4,0.58,31.1,55.0,-,30,6.97,22.54,1.91,31.38,-,63.17
253,臺北市,2014/08/27,中山,-,-,-,-,21,-,-,-,-,-,-,-
254,臺北市,2014/08/27,中山,4.2,0.72,32.3,55.0,-,37,9.34,27.42,1.82,32.11,-,59.58
255,臺北市,2014/08/26,中山,-,-,-,-,10,-,-,-,-,-,-,-
256,臺北市,2014/08/26,中山,2.8,0.44,7.8,38.0,-,26,10.9,14.94,2.4,31.53,-,62.26
257,臺北市,2014/08/25,中山,-,-,-,-,23,-,-,-,-,-,-,-
258,臺北市,2014/08/25,中山,4.2,0.7,28.2,54.0,-,31,6.59,24.68,1.69,31.05,-,67.04
259,臺北市,2014/08/24,中山,-,-,-,-,17,-,-,-,-,-,-,-
260,臺北市,2014/08/24,中山,3.1,0.52,27.6,48.0,-,27,6.51,20.77,1.9,30.78,-,63.81
261,臺北市,2014/08/23,中山,-,-,-,-,21,-,-,-,-,-,-,-
262,臺北市,2014/08/23,中山,4.6,0.67,24.9,53.0,-,40,11.32,28.99,1.65,30.73,-,62.96
263,臺北市,2014/08/22,中山,-,-,-,-,17,-,-,-,-,-,-,-
264,臺北市,2014/08/22,中山,5.3,0.59,21.9,47.0,-,34,9.94,24.02,1.84,31.04,-,63.24
265,臺北市,2014/08/21,中山,-,-,-,-,14,-,-,-,-,-,-,-
266,臺北市,2014/08/21,中山,2.9,0.61,19.0,46.0,-,33,9.76,23.18,1.66,30.45,-,68.11
267,臺北市,2014/08/20,中山,-,-,-,-,16,-,-,-,-,-,-,-
268,臺北市,2014/08/20,中山,4.1,0.83,13.0,47.0,-,47,16.94,30.26,1.4,28.85,-,77.12
269,臺北市,2014/08/19,中山,-,-,-,-,13,-,-,-,-,-,-,-
270,臺北市,2014/08/19,中山,2.9,0.86,12.0,41.0,-,53,21.83,31.13,1.46,28.27,-,78.9
271,臺北市,2014/08/18,中山,-,-,-,-,17,-,-,-,-,-,-,-
272,臺北市,2014/08/18,中山,4.1,0.71,12.6,45.0,-,39,16.42,23.06,1.59,29.92,-,72.66
273,臺北市,2014/08/17,中山,-,-,-,-,17,-,-,-,-,-,-,-
274,臺北市,2014/08/17,中山,2.7,0.47,14.4,48.0,-,25,7.89,17.28,1.54,31.02,-,67.63
275,臺北市,2014/08/16,中山,-,-,-,-,19,-,-,-,-,-,-,-
276,臺北市,2014/08/16,中山,4.4,0.57,29.6,55.0,-,29,4.91,23.7,1.58,30.82,-,72.74
277,臺北市,2014/08/15,中山,-,-,-,-,15,-,-,-,-,-,-,-
278,臺北市,2014/08/15,中山,2.9,0.57,15.4,52.0,-,31,10.09,20.5,2.1,31.64,-,67.6
279,臺北市,2014/08/14,中山,-,-,-,-,13,-,-,-,-,-,-,-
280,臺北市,2014/08/14,中山,1.3,0.76,11.9,46.0,-,38,14.17,23.71,1.74,31.43,-,65.4
281,臺北市,2014/08/13,中山,-,-,-,-,12,-,-,-,-,-,-,-
282,臺北市,2014/08/13,中山,3.0,0.84,13.4,41.0,-,48,18.1,29.51,1.44,29.12,-,78.29
283,臺北市,2014/08/12,中山,-,-,-,-,13,-,-,-,-,-,-,-
284,臺北市,2014/08/12,中山,3.9,0.66,17.6,44.0,-,34,9.0,24.65,1.61,30.07,-,74.74
285,臺北市,2014/08/11,中山,-,-,-,-,14,-,-,-,-,-,-,-
286,臺北市,2014/08/11,中山,2.9,0.75,20.1,47.0,-,37,10.53,26.31,1.75,30.58,-,71.62
287,臺北市,2014/08/10,中山,-,-,-,-,19,-,-,-,-,-,-,-
288,臺北市,2014/08/10,中山,3.8,0.61,21.4,48.0,-,31,7.45,23.12,1.47,31.42,-,69.51
289,臺北市,2014/08/09,中山,-,-,-,-,16,-,-,-,-,-,-,-
290,臺北市,2014/08/09,中山,3.5,0.59,25.0,49.0,-,28,7.03,21.34,2.23,31.56,-,69.15
291,臺北市,2014/08/08,中山,-,-,-,-,15,-,-,-,-,-,-,-
292,臺北市,2014/08/08,中山,4.7,0.63,18.6,47.0,-,33,9.29,23.45,2.18,31.92,-,66.94
293,臺北市,2014/08/07,中山,-,-,-,-,21,-,-,-,-,-,-,-
294,臺北市,2014/08/07,中山,4.7,0.7,16.3,55.0,-,38,13.36,24.36,1.63,31.16,-,67.57
295,臺北市,2014/08/06,中山,-,-,-,-,17,-,-,-,-,-,-,-
296,臺北市,2014/08/06,中山,3.7,0.69,15.2,45.0,-,36,11.26,24.49,1.5,30.44,-,71.17
297,臺北市,2014/08/05,中山,-,-,-,-,16,-,-,-,-,-,-,-
298,臺北市,2014/08/05,中山,4.5,0.83,8.8,49.0,-,47,17.58,29.41,1.4,30.39,-,72.13
299,臺北市,2014/08/04,中山,-,-,-,-,23,-,-,-,-,-,-,-
300,臺北市,2014/08/04,中山,3.6,0.67,20.8,61.0,-,32,7.56,24.11,1.61,30.87,-,69.81
301,臺北市,2014/08/03,中山,-,-,-,-,22,-,-,-,-,-,-,-
302,臺北市,2014/08/03,中山,1.9,0.59,30.3,58.0,-,26,4.81,21.44,1.66,30.82,-,70.03
303,臺北市,2014/08/02,中山,-,-,-,-,24,-,-,-,-,-,-,-
304,臺北市,2014/08/02,中山,2.2,0.63,32.2,58.0,-,30,6.48,23.88,1.88,32.08,-,63.17
305,臺北市,2014/08/01,中山,-,-,-,-,29,-,-,-,-,-,-,-
306,臺北市,2014/08/01,中山,2.8,0.99,30.0,71.0,-,43,12.24,30.55,2.39,32.94,-,62.5
307,臺北市,2014/07/31,中山,-,-,-,-,12,-,-,-,-,-,-,-
308,臺北市,2014/07/31,中山,2.7,0.75,10.4,41.0,-,36,17.32,18.58,2.02,30.34,-,76.25
309,臺北市,2014/07/30,中山,-,-,-,-,10,-,-,-,-,-,-,-
310,臺北市,2014/07/30,中山,2.8,0.44,8.7,36.0,-,23,11.32,11.63,1.78,31.17,-,69.98
311,臺北市,2014/07/29,中山,-,-,-,-,10,-,-,-,-,-,-,-
312,臺北市,2014/07/29,中山,2.9,0.43,-,37.0,-,25,12.87,12.37,2.3,31.12,-,66.42
313,臺北市,2014/07/28,中山,-,-,-,-,9,-,-,-,-,-,-,-
314,臺北市,2014/07/28,中山,0.9,0.4,-,38.0,-,24,10.5,13.12,2.16,31.28,-,64.04
315,臺北市,2014/07/27,中山,-,-,-,-,12,-,-,-,-,-,-,-
316,臺北市,2014/07/27,中山,2.4,0.37,-,41.0,-,20,6.9,13.47,2.06,31.24,-,62.54
317,臺北市,2014/07/26,中山,-,-,-,-,12,-,-,-,-,-,-,-
318,臺北市,2014/07/26,中山,1.9,0.55,-,42.0,-,28,9.04,19.0,1.73,30.13,-,70.34
319,臺北市,2014/07/25,中山,-,-,-,-,17,-,-,-,-,-,-,-
320,臺北市,2014/07/25,中山,2.3,0.78,-,51.0,-,41,13.01,27.52,1.5,29.52,-,77.36
321,臺北市,2014/07/24,中山,-,-,-,-,15,-,-,-,-,-,-,-
322,臺北市,2014/07/24,中山,4.2,0.84,-,49.0,-,40,13.33,26.73,1.5,30.36,-,71.15
323,臺北市,2014/07/23,中山,-,-,-,-,8,-,-,-,-,-,-,-
324,臺北市,2014/07/23,中山,2.2,0.52,-,29.0,-,30,15.6,13.92,3.37,28.12,-,82.3
325,臺北市,2014/07/22,中山,-,-,-,-,7,-,-,-,-,-,-,-
326,臺北市,2014/07/22,中山,1.4,0.41,-,34.0,-,23,12.14,10.69,2.88,29.59,-,78.33
327,臺北市,2014/07/21,中山,-,-,-,-,8,-,-,-,-,-,-,-
328,臺北市,2014/07/21,中山,1.1,0.33,-,30.0,-,20,11.61,8.21,3.4,31.87,-,60.97
329,臺北市,2014/07/20,中山,-,-,-,-,8,-,-,-,-,-,-,-
330,臺北市,2014/07/20,中山,1.9,0.26,-,26.0,-,16,6.81,9.05,3.04,31.93,-,59.25
331,臺北市,2014/07/19,中山,-,-,-,-,8,-,-,-,-,-,-,-
332,臺北市,2014/07/19,中山,0.9,0.39,-,34.0,-,22,9.18,12.69,2.11,31.57,-,61.97
333,臺北市,2014/07/18,中山,-,-,-,-,11,-,-,-,-,-,-,-
334,臺北市,2014/07/18,中山,2.6,-,-,33.0,-,20,7.51,12.53,2.74,32.11,-,59.87
335,臺北市,2014/07/17,中山,-,-,-,-,10,-,-,-,-,-,-,-
336,臺北市,2014/07/17,中山,0.7,0.28,-,34.0,-,18,10.13,8.16,3.05,32.36,-,58.83
337,臺北市,2014/07/16,中山,-,-,-,-,11,-,-,-,-,-,-,-
338,臺北市,2014/07/16,中山,0.2,0.38,-,42.0,-,23,10.17,12.37,2.54,31.43,-,62.75
339,臺北市,2014/07/15,中山,-,-,-,-,19,-,-,-,-,-,-,-
340,臺北市,2014/07/15,中山,2.3,0.58,-,54.0,-,29,7.46,21.11,2.0,30.98,-,70.34
341,臺北市,2014/07/14,中山,-,-,-,-,21,-,-,-,-,-,-,-
342,臺北市,2014/07/14,中山,2.6,0.82,-,57.0,-,39,10.91,27.68,1.56,31.21,-,71.12
343,臺北市,2014/07/13,中山,-,-,-,-,17,-,-,-,-,-,-,-
344,臺北市,2014/07/13,中山,2.9,0.54,-,53.0,-,27,7.71,19.75,1.71,32.96,-,62.03
345,臺北市,2014/07/12,中山,-,-,-,-,19,-,-,-,-,-,-,-
346,臺北市,2014/07/12,中山,2.7,0.65,-,52.0,-,31,8.19,23.19,1.66,31.43,-,70.88
347,臺北市,2014/07/11,中山,-,-,-,-,18,-,-,-,-,-,-,-
348,臺北市,2014/07/11,中山,2.6,0.69,-,55.0,-,36,12.63,23.53,1.65,31.24,-,71.89
349,臺北市,2014/07/10,中山,-,-,-,-,23,-,-,-,-,-,-,-
350,臺北市,2014/07/10,中山,2.6,0.82,-,63.0,-,36,8.17,27.5,1.5,32.22,-,68.01
351,臺北市,2014/07/09,中山,-,-,-,-,23,-,-,-,-,-,-,-
352,臺北市,2014/07/09,中山,3.0,0.72,-,66.0,-,30,6.64,23.69,1.89,33.0,-,61.35
353,臺北市,2014/07/08,中山,-,-,-,-,15,-,-,-,-,-,-,-
354,臺北市,2014/07/08,中山,2.0,0.77,-,53.0,-,35,16.43,18.15,1.86,29.55,-,77.98
355,臺北市,2014/07/07,中山,-,-,-,-,12,-,-,-,-,-,-,-
356,臺北市,2014/07/07,中山,3.5,0.46,-,50.0,-,28,15.06,13.44,2.14,32.04,-,65.71
357,臺北市,2014/07/06,中山,-,-,-,-,23,-,-,-,-,-,-,-
358,臺北市,2014/07/06,中山,4.9,0.55,21.8,58.0,-,30,5.99,24.17,1.66,33.17,-,61.41
359,臺北市,2014/07/05,中山,-,-,-,-,19,-,-,-,-,-,-,-
360,臺北市,2014/07/05,中山,2.1,0.57,28.7,59.0,-,29,8.83,19.73,1.62,31.89,-,63.73
361,臺北市,2014/07/04,中山,-,-,-,-,20,-,-,-,-,-,-,-
362,臺北市,2014/07/04,中山,3.2,0.66,24.9,62.0,-,32,8.49,23.78,1.72,31.56,-,65.93
363,臺北市,2014/07/03,中山,-,-,-,-,21,-,-,-,-,-,-,-
364,臺北市,2014/07/03,中山,4.9,0.65,24.5,67.0,-,31,8.17,23.32,2.07,32.12,-,65.38
365,臺北市,2014/07/02,中山,-,-,-,-,13,-,-,-,-,-,-,-
366,臺北市,2014/07/02,中山,3.5,0.67,21.0,50.0,-,33,10.29,22.42,1.68,30.97,-,69.82
367,臺北市,2014/07/01,中山,-,-,-,-,15,-,-,-,-,-,-,-
368,臺北市,2014/07/01,中山,2.5,0.81,16.9,48.0,-,40,12.22,28.25,1.72,29.5,-,76.7
369,臺北市,2014/06/30,中山,-,-,-,-,12,-,-,-,-,-,-,-
370,臺北市,2014/06/30,中山,2.6,0.81,19.4,42.0,-,39,10.57,28.21,1.5,29.08,-,79.91
371,臺北市,2014/06/29,中山,-,-,-,-,20,-,-,-,-,-,-,-
372,臺北市,2014/06/29,中山,4.4,0.53,19.4,55.0,-,27,6.52,20.43,1.65,30.0,-,76.79
373,臺北市,2014/06/28,中山,-,-,-,-,31,-,-,-,-,-,-,-
374,臺北市,2014/06/28,中山,7.2,0.78,29.3,80.0,-,41,9.6,31.12,1.55,30.56,-,74.86
375,臺北市,2014/06/27,中山,-,-,-,-,21,-,-,-,-,-,-,-
376,臺北市,2014/06/27,中山,4.5,0.77,17.8,62.0,-,36,10.2,25.99,1.89,30.94,-,71.69
377,臺北市,2014/06/26,中山,-,-,-,-,19,-,-,-,-,-,-,-
378,臺北市,2014/06/26,中山,4.2,0.88,14.3,58.0,-,46,17.52,28.45,1.51,30.85,-,70.89
379,臺北市,2014/06/25,中山,-,-,-,-,15,-,-,-,-,-,-,-
380,臺北市,2014/06/25,中山,2.8,0.89,11.8,53.0,-,48,19.21,28.8,1.68,28.88,-,81.91
381,臺北市,2014/06/24,中山,-,-,-,-,12,-,-,-,-,-,-,-
382,臺北市,2014/06/24,中山,3.3,0.89,9.4,48.0,-,49,18.76,30.07,1.38,28.54,-,79.68
383,臺北市,2014/06/23,中山,-,-,-,-,13,-,-,-,-,-,-,-
384,臺北市,2014/06/23,中山,1.9,0.8,11.4,49.0,-,41,15.43,26.03,1.56,28.8,-,81.45
385,臺北市,2014/06/22,中山,-,-,-,-,17,-,-,-,-,-,-,-
386,臺北市,2014/06/22,中山,3.2,0.69,15.3,58.0,-,37,8.79,27.83,1.31,28.83,-,83.43
387,臺北市,2014/06/21,中山,-,-,-,-,21,-,-,-,-,-,-,-
388,臺北市,2014/06/21,中山,3.1,0.78,20.7,59.0,-,41,11.51,29.33,1.53,29.36,-,79.05
389,臺北市,2014/06/20,中山,-,-,-,-,21,-,-,-,-,-,-,-
390,臺北市,2014/06/20,中山,4.6,0.96,11.8,62.0,-,57,24.01,33.12,1.3,28.87,-,81.95
391,臺北市,2014/06/19,中山,-,-,-,-,15,-,-,-,-,-,-,-
392,臺北市,2014/06/19,中山,3.9,0.85,10.2,58.0,-,49,20.14,28.81,1.57,29.5,-,77.95
393,臺北市,2014/06/18,中山,-,-,-,-,14,-,-,-,-,-,-,-
394,臺北市,2014/06/18,中山,3.0,0.69,17.0,46.0,-,36,11.96,23.84,2.16,30.79,-,67.98
395,臺北市,2014/06/17,中山,-,-,-,-,13,-,-,-,-,-,-,-
396,臺北市,2014/06/17,中山,2.8,0.98,13.5,58.0,-,43,18.67,23.99,2.04,31.09,-,66.49
397,臺北市,2014/06/16,中山,-,-,-,-,15,-,-,-,-,-,-,-
398,臺北市,2014/06/16,中山,4.7,0.85,14.3,54.0,-,45,15.87,28.76,1.2,28.87,-,77.94
399,臺北市,2014/06/15,中山,-,-,-,-,22,-,-,-,-,-,-,-
400,臺北市,2014/06/15,中山,2.8,0.79,12.3,66.0,-,41,14.14,27.2,1.32,28.52,-,81.01
401,臺北市,2014/06/14,中山,-,-,-,-,20,-,-,-,-,-,-,-
402,臺北市,2014/06/14,中山,4.1,0.62,34.8,61.0,-,30,6.41,23.8,2.11,29.22,-,71.19
403,臺北市,2014/06/13,中山,-,-,-,-,32,-,-,-,-,-,-,-
404,臺北市,2014/06/13,中山,2.0,0.57,34.0,80.0,-,29,5.89,23.19,3.03,27.69,-,68.3
405,臺北市,2014/06/12,中山,-,-,-,-,18,-,-,-,-,-,-,-
406,臺北市,2014/06/12,中山,2.2,0.51,21.3,52.0,-,30,11.05,18.99,2.62,26.4,-,71.52
407,臺北市,2014/06/11,中山,-,-,-,-,8,-,-,-,-,-,-,-
408,臺北市,2014/06/11,中山,2.0,0.58,15.0,34.0,-,31,10.69,20.61,1.66,25.9,-,84.89
409,臺北市,2014/06/10,中山,-,-,-,-,6,-,-,-,-,-,-,-
410,臺北市,2014/06/10,中山,1.9,0.61,16.6,36.0,-,32,11.01,20.53,1.71,26.94,-,84.89
411,臺北市,2014/06/09,中山,-,-,-,-,10,-,-,-,-,-,-,-
412,臺北市,2014/06/09,中山,2.3,0.67,17.8,39.0,-,34,12.79,21.53,1.86,27.24,-,86.89
413,臺北市,2014/06/08,中山,-,-,-,-,9,-,-,-,-,-,-,-
414,臺北市,2014/06/08,中山,3.8,0.56,14.1,32.0,-,31,6.95,23.89,1.59,26.41,-,88.84
415,臺北市,2014/06/07,中山,-,-,-,-,18,-,-,-,-,-,-,-
416,臺北市,2014/06/07,中山,4.4,0.81,10.1,53.0,-,44,11.85,32.13,1.24,26.45,-,86.87
417,臺北市,2014/06/06,中山,-,-,-,-,28,-,-,-,-,-,-,-
418,臺北市,2014/06/06,中山,4.7,0.89,28.6,64.0,-,49,11.93,36.63,1.63,25.51,-,83.68
419,臺北市,2014/06/05,中山,-,-,-,-,28,-,-,-,-,-,-,-
420,臺北市,2014/06/05,中山,3.2,0.93,20.9,68.0,-,44,12.41,31.64,1.51,27.23,-,81.4
421,臺北市,2014/06/04,中山,-,-,-,-,26,-,-,-,-,-,-,-
422,臺北市,2014/06/04,中山,5.6,0.8,31.4,73.0,-,42,10.2,31.43,1.61,27.94,-,72.98
423,臺北市,2014/06/03,中山,-,-,-,-,16,-,-,-,-,-,-,-
424,臺北市,2014/06/03,中山,4.0,0.88,12.2,53.0,-,45,16.51,28.18,1.52,27.99,-,76.36
425,臺北市,2014/06/02,中山,-,-,-,-,19,-,-,-,-,-,-,-
426,臺北市,2014/06/02,中山,2.8,0.78,13.7,56.0,-,37,13.27,23.87,1.53,30.93,-,64.62
427,臺北市,2014/06/01,中山,-,-,-,-,26,-,-,-,-,-,-,-
428,臺北市,2014/06/01,中山,4.0,0.77,19.5,70.0,-,39,9.44,29.14,1.53,29.35,-,74.67
429,臺北市,2014/05/31,中山,-,-,-,-,23,-,-,-,-,-,-,-
430,臺北市,2014/05/31,中山,3.4,0.78,22.8,63.0,-,39,9.46,29.27,1.4,28.42,-,78.47
431,臺北市,2014/05/30,中山,-,-,-,-,20,-,-,-,-,-,-,-
432,臺北市,2014/05/30,中山,3.3,1.0,10.8,54.0,-,54,24.65,28.88,1.41,27.72,-,83.41
433,臺北市,2014/05/29,中山,-,-,-,-,15,-,-,-,-,-,-,-
434,臺北市,2014/05/29,中山,2.5,1.18,9.9,43.0,-,70,34.02,36.36,1.11,26.46,-,89.88
435,臺北市,2014/05/28,中山,-,-,-,-,42,-,-,-,-,-,-,-
436,臺北市,2014/05/28,中山,3.4,0.85,33.7,87.0,-,36,7.54,28.7,1.73,28.51,-,79.78
437,臺北市,2014/05/27,中山,-,-,-,-,28,-,-,-,-,-,-,-
438,臺北市,2014/05/27,中山,2.5,0.92,24.1,64.0,-,39,9.95,28.65,1.53,27.72,-,83.06
439,臺北市,2014/05/26,中山,-,-,-,-,15,-,-,-,-,-,-,-
440,臺北市,2014/05/26,中山,2.0,0.74,17.0,49.0,-,36,12.33,23.26,2.07,29.7,-,69.28
441,臺北市,2014/05/25,中山,-,-,-,-,14,-,-,-,-,-,-,-
442,臺北市,2014/05/25,中山,2.9,0.58,19.3,45.0,-,30,8.41,21.37,1.57,28.8,-,70.37
443,臺北市,2014/05/24,中山,-,-,-,-,12,-,-,-,-,-,-,-
444,臺北市,2014/05/24,中山,1.9,0.55,28.0,37.0,-,33,9.21,24.19,1.75,28.06,-,72.53
445,臺北市,2014/05/23,中山,-,-,-,-,15,-,-,-,-,-,-,-
446,臺北市,2014/05/23,中山,2.9,0.87,15.4,45.0,-,46,15.78,29.75,1.71,25.34,-,86.84
447,臺北市,2014/05/22,中山,-,-,-,-,19,-,-,-,-,-,-,-
448,臺北市,2014/05/22,中山,2.3,1.39,11.4,58.0,-,72,25.84,46.35,1.19,24.34,-,87.54
449,臺北市,2014/05/21,中山,-,-,-,-,23,-,-,-,-,-,-,-
450,臺北市,2014/05/21,中山,2.1,0.82,29.0,58.0,-,55,14.45,40.47,1.77,20.35,-,88.9
451,臺北市,2014/05/20,中山,-,-,-,-,13,-,-,-,-,-,-,-
452,臺北市,2014/05/20,中山,2.5,0.97,10.3,43.0,-,55,29.26,25.52,1.66,25.56,-,86.14
453,臺北市,2014/05/19,中山,-,-,-,-,14,-,-,-,-,-,-,-
454,臺北市,2014/05/19,中山,4.0,1.19,3.3,45.0,-,75,45.25,29.5,1.07,26.75,-,84.86
455,臺北市,2014/05/18,中山,-,-,-,-,17,-,-,-,-,-,-,-
456,臺北市,2014/05/18,中山,4.2,0.76,8.5,50.0,-,41,19.79,21.53,1.41,28.93,-,72.02
457,臺北市,2014/05/17,中山,-,-,-,-,26,-,-,-,-,-,-,-
458,臺北市,2014/05/17,中山,3.6,0.98,18.3,68.0,-,45,16.69,28.71,1.55,27.81,-,76.88
459,臺北市,2014/05/16,中山,-,-,-,-,42,-,-,-,-,-,-,-
460,臺北市,2014/05/16,中山,4.1,1.02,40.7,90.0,-,50,15.3,34.57,1.78,24.56,-,83.5
461,臺北市,2014/05/15,中山,-,-,-,-,14,-,-,-,-,-,-,-
462,臺北市,2014/05/15,中山,1.4,0.79,19.2,46.0,-,38,12.38,25.72,1.66,27.37,-,74.44
463,臺北市,2014/05/14,中山,-,-,-,-,14,-,-,-,-,-,-,-
464,臺北市,2014/05/14,中山,2.5,0.91,12.5,53.0,-,45,22.09,22.81,2.13,30.84,-,59.07
465,臺北市,2014/05/13,中山,-,-,-,-,24,-,-,-,-,-,-,-
466,臺北市,2014/05/13,中山,4.1,1.05,16.4,61.0,-,54,17.78,36.42,1.4,27.0,-,79.85
467,臺北市,2014/05/12,中山,-,-,-,-,23,-,-,-,-,-,-,-
468,臺北市,2014/05/12,中山,3.5,0.92,15.9,55.0,-,50,18.8,30.95,1.36,27.82,-,75.41
469,臺北市,2014/05/11,中山,-,-,-,-,26,-,-,-,-,-,-,-
470,臺北市,2014/05/11,中山,4.5,0.81,33.4,59.0,-,43,11.59,31.26,1.37,27.72,-,70.15
471,臺北市,2014/05/10,中山,-,-,-,-,28,-,-,-,-,-,-,-
472,臺北市,2014/05/10,中山,4.0,0.96,27.1,66.0,-,47,14.44,32.49,1.4,25.56,-,78.98
473,臺北市,2014/05/09,中山,-,-,-,-,18,-,-,-,-,-,-,-
474,臺北市,2014/05/09,中山,4.0,0.96,17.4,44.0,-,52,19.67,32.82,1.41,24.42,-,84.18
475,臺北市,2014/05/08,中山,-,-,-,-,22,-,-,-,-,-,-,-
476,臺北市,2014/05/08,中山,6.4,0.92,15.3,61.0,-,49,14.85,33.97,1.65,24.16,-,78.4
477,臺北市,2014/05/07,中山,-,-,-,-,16,-,-,-,-,-,-,-
478,臺北市,2014/05/07,中山,3.8,1.16,14.8,52.0,-,65,26.28,38.24,1.17,21.99,-,87.76
479,臺北市,2014/05/06,中山,-,-,-,-,16,-,-,-,-,-,-,-
480,臺北市,2014/05/06,中山,2.7,0.61,31.8,46.0,-,38,6.78,30.82,2.28,18.58,-,87.69
481,臺北市,2014/05/05,中山,-,-,-,-,16,-,-,-,-,-,-,-
482,臺北市,2014/05/05,中山,2.5,0.58,42.1,54.0,-,31,5.41,25.36,1.91,20.06,-,80.19
483,臺北市,2014/05/04,中山,-,-,-,-,28,-,-,-,-,-,-,-
484,臺北市,2014/05/04,中山,2.6,0.7,35.6,68.0,-,35,5.31,29.69,1.36,25.06,-,68.67
485,臺北市,2014/05/03,中山,-,-,-,-,22,-,-,-,-,-,-,-
486,臺北市,2014/05/03,中山,2.0,0.5,50.1,54.0,-,23,2.68,19.92,3.0,23.75,-,66.96
487,臺北市,2014/05/02,中山,-,-,-,-,20,-,-,-,-,-,-,-
488,臺北市,2014/05/02,中山,3.2,0.72,27.4,55.0,-,35,7.74,27.71,1.9,24.28,-,80.3
489,臺北市,2014/05/01,中山,-,-,-,-,20,-,-,-,-,-,-,-
490,臺北市,2014/05/01,中山,1.9,0.96,17.3,58.0,-,66,25.33,40.81,0.97,21.37,-,88.6
491,臺北市,2014/04/30,中山,-,-,-,-,23,-,-,-,-,-,-,-
492,臺北市,2014/04/30,中山,2.4,0.68,30.1,70.0,-,37,7.67,29.21,2.05,22.3,-,74.95
493,臺北市,2014/04/29,中山,-,-,-,-,33,-,-,-,-,-,-,-
494,臺北市,2014/04/29,中山,4.3,0.61,41.0,85.0,-,32,5.73,25.82,2.66,22.44,-,63.95
495,臺北市,2014/04/28,中山,-,-,-,-,27,-,-,-,-,-,-,-
496,臺北市,2014/04/28,中山,2.3,0.75,40.8,70.0,-,28,6.17,21.77,2.58,23.2,-,67.6
497,臺北市,2014/04/27,中山,-,-,-,-,19,-,-,-,-,-,-,-
498,臺北市,2014/04/27,中山,2.9,0.82,25.5,61.0,-,38,9.61,28.3,1.58,25.51,-,77.65
499,臺北市,2014/04/26,中山,-,-,-,-,12,-,-,-,-,-,-,-
500,臺北市,2014/04/26,中山,2.5,0.87,17.0,48.0,-,46,15.19,31.19,1.48,25.5,-,83.08
501,臺北市,2014/04/25,中山,-,-,-,-,23,-,-,-,-,-,-,-
502,臺北市,2014/04/25,中山,2.8,1.16,8.5,64.0,-,62,24.34,37.53,1.41,23.72,-,86.37
503,臺北市,2014/04/24,中山,-,-,-,-,18,-,-,-,-,-,-,-
504,臺北市,2014/04/24,中山,1.9,0.91,28.0,50.0,-,47,13.16,34.08,1.26,22.29,-,87.59
505,臺北市,2014/04/23,中山,-,-,-,-,27,-,-,-,-,-,-,-
506,臺北市,2014/04/23,中山,2.5,0.58,40.2,78.0,-,30,4.72,24.83,2.5,20.96,-,76.89
507,臺北市,2014/04/22,中山,-,-,-,-,18,-,-,-,-,-,-,-
508,臺北市,2014/04/22,中山,3.9,0.87,17.9,55.0,-,45,12.67,31.89,1.75,22.44,-,83.23
509,臺北市,2014/04/21,中山,-,-,-,-,19,-,-,-,-,-,-,-
510,臺北市,2014/04/21,中山,4.4,0.53,34.6,50.0,-,25,5.07,19.78,2.58,23.25,-,79.03
511,臺北市,2014/04/20,中山,-,-,-,-,21,-,-,-,-,-,-,-
512,臺北市,2014/04/20,中山,2.6,0.62,21.5,61.0,-,31,7.78,23.66,2.06,23.61,-,81.47
513,臺北市,2014/04/19,中山,-,-,-,-,36,-,-,-,-,-,-,-
514,臺北市,2014/04/19,中山,3.2,0.81,25.9,96.0,-,39,8.57,30.86,1.57,26.42,-,73.52
515,臺北市,2014/04/18,中山,-,-,-,-,22,-,-,-,-,-,-,-
516,臺北市,2014/04/18,中山,2.7,0.74,27.2,70.0,-,35,6.48,28.23,1.74,26.36,-,69.8
517,臺北市,2014/04/17,中山,-,-,-,-,25,-,-,-,-,-,-,-
518,臺北市,2014/04/17,中山,4.3,0.89,25.7,75.0,-,47,11.95,34.72,1.58,26.15,-,67.42
519,臺北市,2014/04/16,中山,-,-,-,-,30,-,-,-,-,-,-,-
520,臺北市,2014/04/16,中山,3.6,0.86,37.6,87.0,-,43,8.88,34.29,1.59,25.44,-,61.99
