序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
59,臺北市,2014/12/02,中山,-,-,-,-,20,-,-,-,-,-,-,-
60,臺北市,2014/12/02,中山,2.4,0.64,17.8,89.0,-,36,11.56,24.88,2.49,16.67,-,71.84
61,臺北市,2014/12/01,中山,-,-,-,-,21,-,-,-,-,-,-,-
62,臺北市,2014/12/01,中山,2.1,0.84,18.8,68.0,-,30,8.51,21.39,2.22,18.68,-,76.41
63,臺北市,2014/11/30,中山,-,-,-,-,23,-,-,-,-,-,-,-
64,臺北市,2014/11/30,中山,1.9,1.01,12.8,72.0,-,46,20.1,25.44,1.51,25.96,-,76.56
65,臺北市,2014/11/29,中山,-,-,-,-,21,-,-,-,-,-,-,-
66,臺北市,2014/11/29,中山,6.0,0.92,20.9,64.0,-,45,15.78,28.91,1.42,26.76,-,74.8
67,臺北市,2014/11/28,中山,-,-,-,-,18,-,-,-,-,-,-,-
68,臺北市,2014/11/28,中山,5.4,0.92,13.1,58.0,-,48,15.67,32.47,1.65,25.06,-,79.89
69,臺北市,2014/11/27,中山,-,-,-,-,11,-,-,-,-,-,-,-
70,臺北市,2014/11/27,中山,3.6,0.67,22.4,46.0,-,34,9.45,24.25,2.53,23.71,-,82.12
71,臺北市,2014/11/26,中山,-,-,-,-,16,-,-,-,-,-,-,-
72,臺北市,2014/11/26,中山,2.4,0.68,25.8,52.0,-,32,8.77,23.53,2.3,23.13,-,75.99
73,臺北市,2014/11/25,中山,-,-,-,-,29,-,-,-,-,-,-,-
74,臺北市,2014/11/25,中山,2.8,0.88,27.2,80.0,-,43,8.78,33.85,1.55,23.49,-,72.69
