序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
1,臺北市,2015/12/31,中山,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-
2,臺北市,2015/12/31,中山,2.7,0.69,29.9,73.0,-,33,6.18,26.32,2.05,0.179,1.872,2.44,2.02,16.93,75.43
3,臺北市,2015/12/30,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
4,臺北市,2015/12/30,中山,1.7,0.54,21.0,22.0,-,35,9.29,25.35,1.99,0.167,1.827,2.3,2.13,16.83,87.52
5,臺北市,2015/12/29,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
6,臺北市,2015/12/29,中山,2.6,0.5,26.8,58.0,-,31,8.09,22.82,1.97,0.151,1.823,2.77,2.52,18.05,68.31
7,臺北市,2015/12/28,中山,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-
8,臺北市,2015/12/28,中山,1.5,0.6,26.8,44.0,-,32,9.55,22.74,2.03,0.163,1.864,1.9,1.56,16.73,76.38
9,臺北市,2015/12/27,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
10,臺北市,2015/12/27,中山,2.0,0.71,22.1,32.0,-,34,7.38,26.62,2.15,0.19,1.956,1.65,1.06,17.96,89.14
11,臺北市,2015/12/26,中山,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-
12,臺北市,2015/12/26,中山,3.1,0.89,23.9,68.0,-,33,6.74,26.39,2.17,0.217,1.955,1.98,1.7,18.21,80.14
13,臺北市,2015/12/25,中山,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
14,臺北市,2015/12/25,中山,1.1,0.8,18.6,15.0,-,36,10.69,25.42,2.08,0.19,1.892,1.82,1.52,18.53,85.59
15,臺北市,2015/12/24,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
16,臺北市,2015/12/24,中山,4.3,1.11,6.6,50.0,-,60,26.74,33.22,2.43,0.419,2.006,1.35,0.74,22.28,86.68
17,臺北市,2015/12/23,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
18,臺北市,2015/12/23,中山,6.7,0.85,15.5,46.0,-,49,18.28,30.82,2.25,0.276,1.977,1.58,1.11,23.51,78.35
19,臺北市,2015/12/22,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
20,臺北市,2015/12/22,中山,4.2,0.91,12.6,43.0,-,52,23.64,28.57,2.46,0.379,2.076,1.54,1.27,24.66,74.55
21,臺北市,2015/12/21,中山,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-
22,臺北市,2015/12/21,中山,8.1,0.91,5.1,62.0,-,61,27.21,33.33,2.41,0.331,2.078,1.89,1.51,21.6,82.95
23,臺北市,2015/12/20,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
24,臺北市,2015/12/20,中山,2.5,0.67,17.9,38.0,-,39,11.8,27.58,2.19,0.212,1.979,1.81,1.54,21.88,71.03
25,臺北市,2015/12/19,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
26,臺北市,2015/12/19,中山,3.9,0.39,21.3,27.0,-,27,6.99,19.59,1.98,0.115,1.863,2.72,2.51,18.92,80.61
27,臺北市,2015/12/18,中山,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-
28,臺北市,2015/12/18,中山,2.8,0.59,15.6,30.0,-,42,16.01,25.77,2.11,0.193,1.916,2.17,1.9,16.66,63.92
29,臺北市,2015/12/17,中山,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-
30,臺北市,2015/12/17,中山,3.3,0.49,21.4,60.0,-,30,10.19,19.48,2.03,0.147,1.886,1.99,0.88,13.01,57.23
31,臺北市,2015/12/16,中山,-,-,-,-,68,-,-,-,-,-,-,-,-,-,-
32,臺北市,2015/12/16,中山,6.2,0.74,28.9,108.0,-,27,6.7,20.5,2.12,0.154,1.969,1.78,0.68,15.34,63.08
33,臺北市,2015/12/15,中山,-,-,-,-,48,-,-,-,-,-,-,-,-,-,-
34,臺北市,2015/12/15,中山,3.1,0.93,20.1,63.0,-,34,9.58,24.24,2.19,0.208,1.984,2.41,2.16,18.23,80.77
35,臺北市,2015/12/14,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
36,臺北市,2015/12/14,中山,2.7,0.67,18.0,23.0,-,32,8.69,23.02,2.13,0.189,1.942,2.26,1.93,22.09,84.11
37,臺北市,2015/12/13,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
38,臺北市,2015/12/13,中山,4.9,0.51,26.2,28.0,-,26,6.22,19.88,1.98,0.114,1.864,2.68,2.41,21.94,82.95
39,臺北市,2015/12/12,中山,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-
40,臺北市,2015/12/12,中山,1.9,0.54,24.1,30.0,-,28,6.41,21.41,2.04,0.147,1.892,2.67,2.44,18.65,87.84
41,臺北市,2015/12/11,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
