序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
42,臺北市,2015/12/11,中山,1.3,0.74,14.2,33.0,-,42,13.75,28.35,2.13,0.222,1.91,1.93,1.57,19.57,78.24
43,臺北市,2015/12/10,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
44,臺北市,2015/12/10,中山,2.5,0.92,13.2,21.0,-,50,17.5,32.65,2.27,0.351,1.92,1.37,0.86,21.09,83.05
45,臺北市,2015/12/09,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
46,臺北市,2015/12/09,中山,1.8,0.63,18.1,21.0,-,39,15.29,24.04,2.05,0.194,1.858,2.46,2.35,22.38,80.54
47,臺北市,2015/12/08,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
48,臺北市,2015/12/08,中山,2.0,0.45,24.0,31.0,-,27,7.28,19.55,1.96,0.129,1.828,3.22,2.82,19.83,82.61
49,臺北市,2015/12/07,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
50,臺北市,2015/12/07,中山,2.6,0.58,18.7,37.0,-,33,10.93,21.78,2.05,0.162,1.886,2.53,2.29,19.08,76.94
51,臺北市,2015/12/06,中山,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
52,臺北市,2015/12/06,中山,1.2,0.52,20.0,18.0,-,26,7.91,18.43,2.05,0.131,1.919,1.71,1.27,18.72,87.94
53,臺北市,2015/12/05,中山,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
54,臺北市,2015/12/05,中山,2.4,0.62,22.9,28.0,-,32,11.0,20.66,2.08,0.18,1.9,2.71,2.47,22.1,73.99
55,臺北市,2015/12/04,中山,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-
56,臺北市,2015/12/04,中山,5.3,0.54,22.8,74.0,-,34,9.11,24.83,2.08,0.169,1.909,3.38,3.03,17.97,66.6
57,臺北市,2015/12/03,中山,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-
58,臺北市,2015/12/03,中山,2.8,0.69,20.3,74.0,-,33,9.54,23.59,2.11,0.18,1.93,2.58,2.29,18.97,68.37
59,臺北市,2015/12/02,中山,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-
60,臺北市,2015/12/02,中山,2.9,0.81,16.8,25.0,-,41,14.9,26.49,2.25,0.277,1.975,1.66,1.12,22.66,79.18
61,臺北市,2015/12/01,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
62,臺北市,2015/12/01,中山,4.0,0.6,21.8,26.0,-,33,9.33,23.95,2.04,0.165,1.876,2.41,2.14,22.49,81.38
63,臺北市,2015/11/30,中山,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
64,臺北市,2015/11/30,中山,2.2,0.53,21.6,19.0,-,29,7.23,21.65,2.03,0.153,1.878,2.05,1.78,21.65,82.73
65,臺北市,2015/11/29,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
66,臺北市,2015/11/29,中山,2.4,0.6,21.5,22.0,-,30,6.51,23.44,2.11,0.177,1.933,1.56,1.04,22.95,71.38
67,臺北市,2015/11/28,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
68,臺北市,2015/11/28,中山,3.7,0.47,21.4,34.0,-,28,6.11,21.82,2.03,0.143,1.883,2.54,2.3,21.03,71.88
69,臺北市,2015/11/27,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
70,臺北市,2015/11/27,中山,3.1,0.53,22.5,40.0,-,33,10.08,22.62,2.03,0.154,1.878,2.89,2.52,16.73,59.52
71,臺北市,2015/11/26,中山,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-
72,臺北市,2015/11/26,中山,1.9,0.48,27.9,24.0,-,25,7.75,17.55,1.98,0.123,1.858,2.19,1.05,16.9,58.38
73,臺北市,2015/11/25,中山,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
74,臺北市,2015/11/25,中山,1.0,0.6,23.0,23.0,-,29,8.58,20.84,2.06,0.16,1.899,1.59,0.93,22.33,73.53
75,臺北市,2015/11/24,中山,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
76,臺北市,2015/11/24,中山,2.1,0.6,25.0,25.0,-,30,8.16,21.98,1.99,0.152,1.842,1.89,1.46,23.37,73.94
77,臺北市,2015/11/23,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
78,臺北市,2015/11/23,中山,2.3,0.53,26.0,24.0,-,25,7.33,17.83,1.95,0.134,1.82,2.35,1.84,24.89,79.82
79,臺北市,2015/11/22,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
80,臺北市,2015/11/22,中山,5.2,0.45,23.5,24.0,-,24,4.9,19.25,1.98,0.131,1.849,2.42,2.17,25.5,76.05
81,臺北市,2015/11/21,中山,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
82,臺北市,2015/11/21,中山,2.7,0.51,18.5,18.0,-,30,8.42,21.98,2.03,0.162,1.865,2.63,2.34,24.34,79.66
83,臺北市,2015/11/20,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
84,臺北市,2015/11/20,中山,4.1,0.61,23.2,23.0,-,31,9.22,22.24,2.01,0.164,1.843,2.69,2.48,25.03,80.23
85,臺北市,2015/11/19,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
86,臺北市,2015/11/19,中山,6.5,0.66,24.2,31.0,-,31,7.49,23.37,2.01,0.147,1.867,2.6,2.34,25.2,77.98
87,臺北市,2015/11/18,中山,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-
88,臺北市,2015/11/18,中山,3.1,0.75,17.4,40.0,-,39,11.25,27.32,2.18,0.272,1.905,1.77,1.1,27.3,74.22
89,臺北市,2015/11/17,中山,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-
90,臺北市,2015/11/17,中山,4.3,1.1,20.6,44.0,-,57,17.74,38.78,2.42,0.402,2.013,1.24,0.8,27.77,68.45
91,臺北市,2015/11/16,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
92,臺北市,2015/11/16,中山,4.2,0.88,30.0,45.0,-,41,10.64,30.56,2.21,0.261,1.945,1.94,1.31,27.08,73.17
93,臺北市,2015/11/15,中山,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
94,臺北市,2015/11/15,中山,1.7,0.51,28.4,25.0,-,20,4.53,15.67,2.02,0.133,1.883,2.98,2.58,24.79,77.86
95,臺北市,2015/11/14,中山,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-
96,臺北市,2015/11/14,中山,5.5,0.57,20.4,32.0,-,28,5.66,22.77,2.07,0.177,1.892,2.35,2.07,24.25,81.15
97,臺北市,2015/11/13,中山,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-
98,臺北市,2015/11/13,中山,3.4,0.94,13.7,43.0,-,48,17.13,30.7,2.37,0.354,2.018,1.63,1.03,25.09,80.68
99,臺北市,2015/11/12,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
100,臺北市,2015/11/12,中山,4.7,0.63,24.3,25.0,-,34,9.44,24.56,2.02,0.17,1.853,2.61,2.37,24.19,81.91
101,臺北市,2015/11/11,中山,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-
102,臺北市,2015/11/11,中山,3.2,0.51,27.9,37.0,-,30,6.52,23.31,1.98,0.133,1.848,3.1,2.78,21.88,81.49
103,臺北市,2015/11/10,中山,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-
104,臺北市,2015/11/10,中山,1.9,0.68,29.1,33.0,-,26,5.96,20.17,2.08,0.151,1.926,2.87,2.45,22.13,76.42
105,臺北市,2015/11/09,中山,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-
106,臺北市,2015/11/09,中山,2.9,0.92,22.7,49.0,-,34,9.16,25.29,2.25,0.238,2.012,1.98,1.54,25.44,79.37
107,臺北市,2015/11/08,中山,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-
108,臺北市,2015/11/08,中山,6.8,0.89,27.8,67.0,-,45,11.06,33.89,2.36,0.296,2.06,1.46,0.87,27.39,75.92
109,臺北市,2015/11/07,中山,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-
110,臺北市,2015/11/07,中山,5.4,1.14,28.9,91.0,-,53,12.07,41.19,2.55,0.439,2.106,1.27,0.79,27.82,76.34
111,臺北市,2015/11/06,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
112,臺北市,2015/11/06,中山,1.7,0.55,11.8,18.0,-,30,12.58,17.09,2.0,0.159,1.843,2.52,2.38,28.6,70.34
113,臺北市,2015/11/05,中山,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-
114,臺北市,2015/11/05,中山,2.9,0.65,9.0,17.0,-,37,17.15,19.99,2.28,0.283,1.999,1.68,1.32,27.66,72.24
115,臺北市,2015/11/04,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
116,臺北市,2015/11/04,中山,1.7,0.59,14.9,17.0,-,34,15.31,18.37,2.04,0.176,1.867,2.47,2.31,25.81,80.47
117,臺北市,2015/11/03,中山,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-
118,臺北市,2015/11/03,中山,3.6,0.58,28.3,37.0,-,30,7.79,22.09,2.05,0.148,1.902,2.52,2.24,22.81,85.47
119,臺北市,2015/11/02,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
120,臺北市,2015/11/02,中山,2.7,0.64,21.9,31.0,-,30,7.65,22.37,2.12,0.174,1.943,2.33,2.12,21.56,82.88
121,臺北市,2015/11/01,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
122,臺北市,2015/11/01,中山,2.1,0.37,26.4,29.0,-,21,4.48,16.16,2.0,0.1,1.897,2.47,2.25,23.16,78.45
123,臺北市,2015/10/31,中山,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
124,臺北市,2015/10/31,中山,1.9,0.42,29.8,28.0,-,22,4.84,16.88,2.01,0.116,1.889,2.77,2.46,23.01,80.43
125,臺北市,2015/10/30,中山,2.4,0.72,24.4,-,-,31,7.4,23.49,2.19,0.211,1.98,1.91,1.49,25.5,78.51
126,臺北市,2015/10/29,中山,3.7,1.05,40.4,-,-,42,8.66,33.8,2.4,0.316,2.079,1.5,1.13,27.11,74.97
127,臺北市,2015/10/28,中山,4.3,0.87,29.8,-,-,32,7.28,24.97,2.16,0.174,1.989,2.59,2.35,25.52,79.05
128,臺北市,2015/10/27,中山,4.0,0.79,26.6,39.0,-,37,8.37,28.76,2.2,0.246,1.95,1.95,1.32,26.34,74.63
129,臺北市,2015/10/26,中山,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-
130,臺北市,2015/10/26,中山,2.1,0.68,28.4,48.0,-,36,11.84,23.85,2.07,0.183,1.891,2.27,2.04,26.38,68.56
131,臺北市,2015/10/25,中山,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-
132,臺北市,2015/10/25,中山,5.6,0.42,34.9,50.0,-,22,4.39,17.41,1.94,0.09,1.85,2.84,2.41,25.26,76.74
133,臺北市,2015/10/24,中山,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-
134,臺北市,2015/10/24,中山,2.1,0.56,20.6,30.0,-,28,5.36,22.17,2.05,0.159,1.894,1.65,1.3,25.28,87.34
135,臺北市,2015/10/23,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
136,臺北市,2015/10/23,中山,1.3,0.68,22.3,32.0,-,38,14.31,23.86,2.04,0.193,1.849,1.35,0.77,25.5,86.07
137,臺北市,2015/10/22,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
138,臺北市,2015/10/22,中山,3.1,0.48,34.0,46.0,-,25,4.49,20.8,1.96,0.125,1.839,2.16,1.52,24.87,82.72
139,臺北市,2015/10/21,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
140,臺北市,2015/10/21,中山,5.3,0.46,25.5,32.0,-,29,6.51,22.26,1.95,0.133,1.816,2.74,2.54,24.5,83.21
141,臺北市,2015/10/20,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
142,臺北市,2015/10/20,中山,1.2,0.45,27.3,35.0,-,25,6.08,18.61,1.96,0.141,1.82,3.76,3.37,26.62,70.91
143,臺北市,2015/10/19,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
144,臺北市,2015/10/19,中山,3.2,0.52,26.6,33.0,-,31,8.61,21.91,1.98,0.15,1.827,2.96,2.59,25.22,81.72
145,臺北市,2015/10/18,中山,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-
146,臺北市,2015/10/18,中山,4.3,0.37,40.2,38.0,-,20,3.05,17.01,1.91,0.086,1.825,3.15,2.84,24.07,77.28
147,臺北市,2015/10/17,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
148,臺北市,2015/10/17,中山,3.8,0.43,36.9,46.0,-,23,3.85,19.1,1.96,0.113,1.842,2.69,2.38,25.0,70.75
149,臺北市,2015/10/16,中山,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-
150,臺北市,2015/10/16,中山,2.8,0.5,27.8,40.0,-,28,7.42,20.23,1.97,0.141,1.83,2.62,2.27,25.04,74.77
151,臺北市,2015/10/15,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
152,臺北市,2015/10/15,中山,3.1,0.55,26.4,35.0,-,34,8.59,25.02,2.09,0.181,1.912,2.07,1.72,24.49,68.42
153,臺北市,2015/10/14,中山,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-
154,臺北市,2015/10/14,中山,3.2,0.54,34.6,34.0,-,31,6.68,24.14,2.02,0.153,1.871,2.27,1.95,24.0,63.95
155,臺北市,2015/10/13,中山,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-
156,臺北市,2015/10/13,中山,3.8,0.62,53.0,72.0,-,35,4.84,30.11,2.08,0.171,1.908,2.72,2.4,23.78,58.7
157,臺北市,2015/10/12,中山,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-
158,臺北市,2015/10/12,中山,4.1,0.66,49.8,70.0,-,35,4.67,30.27,2.12,0.173,1.947,2.69,2.45,23.64,58.77
159,臺北市,2015/10/11,中山,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-
160,臺北市,2015/10/11,中山,1.6,0.56,32.3,51.0,-,29,4.13,24.45,2.13,0.162,1.963,1.61,1.32,22.65,74.41
161,臺北市,2015/10/10,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
162,臺北市,2015/10/10,中山,4.0,0.51,30.7,41.0,-,28,4.87,22.98,2.07,0.171,1.9,1.76,1.52,24.48,75.26
163,臺北市,2015/10/09,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
164,臺北市,2015/10/09,中山,1.4,0.47,27.0,17.0,-,26,3.16,22.99,2.02,0.149,1.871,1.92,1.6,23.88,88.84
165,臺北市,2015/10/08,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
166,臺北市,2015/10/08,中山,2.5,0.76,16.3,34.0,-,37,12.01,25.03,2.17,0.259,1.912,1.78,0.85,26.64,77.99
167,臺北市,2015/10/07,中山,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
168,臺北市,2015/10/07,中山,5.8,0.47,27.9,31.0,-,29,7.45,22.02,1.96,0.148,1.815,2.59,2.25,27.36,67.48
169,臺北市,2015/10/06,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
170,臺北市,2015/10/06,中山,4.0,0.5,25.4,34.0,-,26,7.52,18.03,1.95,0.134,1.814,2.64,2.24,28.05,74.11
171,臺北市,2015/10/05,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
172,臺北市,2015/10/05,中山,2.3,0.44,7.5,16.0,-,23,13.22,10.1,1.9,0.13,1.769,2.74,2.39,29.9,71.32
173,臺北市,2015/10/04,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
174,臺北市,2015/10/04,中山,1.3,0.38,8.2,17.0,-,20,10.11,9.45,1.87,0.095,1.771,2.91,2.61,30.37,69.06
175,臺北市,2015/10/03,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
176,臺北市,2015/10/03,中山,1.8,0.48,12.2,19.0,-,24,10.97,13.01,1.95,0.154,1.797,2.33,2.01,30.01,69.86
177,臺北市,2015/10/02,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
178,臺北市,2015/10/02,中山,2.6,0.77,24.6,36.0,-,31,6.46,24.5,2.1,0.183,1.915,2.71,2.38,26.03,84.69
179,臺北市,2015/10/01,中山,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-
180,臺北市,2015/10/01,中山,3.7,0.87,19.1,46.0,-,34,8.62,25.24,2.21,0.274,1.931,1.9,1.04,29.81,75.86
181,臺北市,2015/09/30,中山,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-
182,臺北市,2015/09/30,中山,4.1,1.07,20.8,43.0,-,45,15.27,30.0,2.4,0.339,2.062,1.37,0.65,30.43,72.39
183,臺北市,2015/09/29,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
184,臺北市,2015/09/29,中山,1.8,0.67,26.1,35.0,-,25,7.23,17.47,2.1,0.187,1.908,3.38,2.92,30.0,75.17
185,臺北市,2015/09/28,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
186,臺北市,2015/09/28,中山,1.0,0.26,30.6,15.0,-,7,1.35,5.72,1.85,0.043,1.807,4.45,2.19,27.12,89.02
187,臺北市,2015/09/27,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
188,臺北市,2015/09/27,中山,2.4,0.77,21.6,36.0,-,31,3.82,27.67,2.28,0.245,2.035,1.48,1.11,24.62,87.71
189,臺北市,2015/09/26,中山,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-
190,臺北市,2015/09/26,中山,2.2,0.49,32.6,30.0,-,24,4.4,19.37,1.97,0.117,1.852,1.57,1.01,26.76,74.35
191,臺北市,2015/09/25,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
192,臺北市,2015/09/25,中山,4.9,0.58,27.6,31.0,-,32,8.71,23.33,2.05,0.168,1.885,2.45,2.13,27.62,70.71
193,臺北市,2015/09/24,中山,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-
194,臺北市,2015/09/24,中山,3.9,0.88,19.4,47.0,-,39,8.9,30.59,2.25,0.274,1.976,1.89,1.29,28.0,77.42
195,臺北市,2015/09/23,中山,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-
196,臺北市,2015/09/23,中山,4.4,0.97,25.8,59.0,-,42,11.43,30.99,2.36,0.373,1.985,1.72,0.86,29.65,70.79
197,臺北市,2015/09/22,中山,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-
198,臺北市,2015/09/22,中山,8.1,0.79,36.5,52.0,-,38,6.49,31.57,2.22,0.259,1.966,1.53,1.13,29.22,71.41
199,臺北市,2015/09/21,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
200,臺北市,2015/09/21,中山,4.5,0.65,25.8,37.0,-,32,7.31,24.51,2.12,0.204,1.911,1.73,1.33,27.94,73.12
201,臺北市,2015/09/20,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
202,臺北市,2015/09/20,中山,4.0,0.39,35.9,32.0,-,21,3.74,17.14,1.93,0.101,1.824,2.32,1.99,27.51,67.96
203,臺北市,2015/09/19,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
204,臺北市,2015/09/19,中山,2.3,0.49,36.8,37.0,-,26,3.56,22.45,2.05,0.148,1.897,2.27,2.05,26.68,64.71
205,臺北市,2015/09/18,中山,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-
206,臺北市,2015/09/18,中山,2.4,0.52,40.9,40.0,-,27,5.34,21.53,2.03,0.141,1.889,2.1,1.93,26.98,64.37
207,臺北市,2015/09/17,中山,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-
208,臺北市,2015/09/17,中山,2.0,0.55,41.7,36.0,-,27,4.55,22.16,2.02,0.14,1.88,2.19,1.88,27.14,70.68
209,臺北市,2015/09/16,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
210,臺北市,2015/09/16,中山,1.9,0.55,23.8,20.0,-,26,5.17,20.43,2.02,0.149,1.875,2.06,1.79,27.34,80.16
211,臺北市,2015/09/15,中山,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-
212,臺北市,2015/09/15,中山,3.2,0.61,24.1,43.0,-,28,7.61,20.38,2.03,0.181,1.853,2.03,1.66,28.65,76.7
213,臺北市,2015/09/14,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-
214,臺北市,2015/09/14,中山,2.6,0.57,28.5,39.0,-,27,7.09,19.43,1.99,0.14,1.853,2.73,2.51,27.01,79.96
215,臺北市,2015/09/13,中山,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
216,臺北市,2015/09/13,中山,2.3,0.45,47.3,44.0,-,18,2.2,16.04,1.98,0.105,1.879,2.57,2.25,27.19,69.91
217,臺北市,2015/09/12,中山,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-
218,臺北市,2015/09/12,中山,2.6,0.41,35.7,31.0,-,20,3.76,16.22,1.95,0.116,1.828,2.52,2.19,27.64,66.37
219,臺北市,2015/09/11,中山,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-
220,臺北市,2015/09/11,中山,2.8,0.54,28.9,32.0,-,30,7.26,22.67,2.03,0.163,1.868,2.15,1.81,27.38,65.32
221,臺北市,2015/09/10,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
