序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
1,臺北市,2017/12/31,中山,1.3,0.65,26.1,58.0,26,23,4.26,19.13,2.12,0.148,1.973,1.94,1.47,16.32,84.07
2,臺北市,2017/12/30,中山,2.7,0.45,31.9,27.0,16,24,3.33,20.18,2.0,0.111,1.892,2.32,1.91,18.55,89.84
3,臺北市,2017/12/29,中山,2.9,0.58,19.3,21.0,11,34,9.86,24.02,2.1,0.18,1.919,1.77,1.31,19.58,90.58
4,臺北市,2017/12/28,中山,2.0,0.59,22.1,35.0,13,34,9.94,24.46,2.09,0.177,1.912,2.26,2.0,20.92,71.6
5,臺北市,2017/12/27,中山,2.5,0.48,28.1,43.0,15,31,7.52,23.95,2.03,0.148,1.879,3.03,2.63,19.1,67.78
6,臺北市,2017/12/26,中山,2.4,0.54,27.2,56.0,20,30,7.52,22.06,2.01,0.138,1.873,2.98,2.54,18.84,68.55
7,臺北市,2017/12/25,中山,4.0,0.73,32.4,109.0,41,32,7.36,24.46,2.13,0.165,1.966,2.86,2.25,17.39,60.13
8,臺北市,2017/12/24,中山,3.8,0.83,26.7,89.0,38,38,9.71,28.37,2.29,0.253,2.034,1.81,1.34,19.57,76.38
9,臺北市,2017/12/23,中山,3.2,0.79,22.5,45.0,19,41,12.73,28.73,2.3,0.272,2.027,1.9,1.64,22.29,66.44
10,臺北市,2017/12/22,中山,2.1,0.55,23.6,36.0,14,34,10.02,24.37,2.09,0.17,1.919,2.67,2.31,20.06,64.07
11,臺北市,2017/12/21,中山,2.6,0.54,26.6,41.0,15,34,9.98,24.38,2.08,0.154,1.923,2.65,2.1,16.9,59.15
12,臺北市,2017/12/20,中山,2.5,0.54,22.6,36.0,13,34,10.22,23.48,2.06,0.147,1.91,1.94,1.47,16.63,67.74
13,臺北市,2017/12/19,中山,2.2,0.59,19.8,26.0,14,35,9.82,25.56,2.07,0.16,1.915,1.97,1.61,14.76,91.73
14,臺北市,2017/12/18,中山,1.8,0.5,19.5,16.0,8,33,10.74,22.75,2.04,0.147,1.89,2.14,1.81,14.91,92.14
15,臺北市,2017/12/17,中山,2.0,0.46,23.8,32.0,15,24,4.77,19.17,2.02,0.115,1.901,2.21,1.78,13.7,86.35
16,臺北市,2017/12/16,中山,2.1,0.69,15.6,14.0,11,35,11.91,23.45,2.23,0.216,2.012,1.39,0.91,17.91,82.14
17,臺北市,2017/12/15,中山,2.6,0.64,18.4,19.0,10,43,16.63,26.0,2.11,0.196,1.916,2.1,1.92,21.3,77.59
18,臺北市,2017/12/14,中山,1.7,0.52,23.2,28.0,10,30,8.59,21.72,2.04,0.147,1.892,2.67,2.34,18.99,84.92
19,臺北市,2017/12/13,中山,3.1,0.41,25.6,13.0,8,26,7.47,18.58,1.96,0.112,1.852,3.2,2.62,17.67,92.45
20,臺北市,2017/12/12,中山,3.5,0.47,21.8,25.0,9,34,8.89,24.8,2.0,0.136,1.859,2.46,2.2,17.25,91.06
21,臺北市,2017/12/11,中山,2.0,0.59,31.2,66.0,20,30,6.85,23.27,2.05,0.143,1.908,2.41,1.83,18.16,65.79
22,臺北市,2017/12/10,中山,2.3,0.9,16.8,38.0,17,50,22.88,27.05,2.41,0.317,2.09,1.19,0.72,17.89,83.55
23,臺北市,2017/12/09,中山,2.7,0.6,15.1,33.0,12,38,12.05,26.19,2.15,0.19,1.963,1.74,1.53,15.71,86.49
24,臺北市,2017/12/08,中山,2.4,0.57,29.1,54.0,26,30,5.75,24.13,2.05,0.147,1.898,1.49,0.7,15.58,72.4
25,臺北市,2017/12/07,中山,2.7,0.66,14.9,18.0,7,47,16.68,29.84,2.18,0.231,1.944,1.38,1.12,17.38,97.35
26,臺北市,2017/12/06,中山,4.5,0.58,18.3,34.0,12,41,13.81,27.42,2.07,0.173,1.898,2.51,2.07,16.58,79.32
27,臺北市,2017/12/05,中山,2.3,0.55,30.7,62.0,22,30,7.03,22.59,2.01,0.137,1.873,1.84,1.09,17.14,68.96
28,臺北市,2017/12/04,中山,1.8,0.52,32.7,41.0,18,24,4.69,19.16,2.05,0.132,1.92,1.57,0.72,20.09,71.86
29,臺北市,2017/12/03,中山,1.4,0.41,27.5,13.0,6,21,4.64,16.15,2.02,0.144,1.872,2.32,1.86,20.65,89.02
30,臺北市,2017/12/02,中山,2.5,0.42,25.6,15.0,8,21,4.41,16.89,1.98,0.125,1.855,2.89,2.46,19.64,93.51
31,臺北市,2017/12/01,中山,1.6,0.46,27.4,13.0,-,24,5.79,18.3,1.96,0.115,1.847,2.92,2.49,19.61,88.32
32,臺北市,2017/11/30,中山,1.6,0.48,24.2,18.0,7,24,6.01,18.22,1.98,0.133,1.848,2.39,1.92,23.0,84.43
33,臺北市,2017/11/29,中山,3.8,0.77,22.5,74.0,29,37,11.44,25.23,2.22,0.242,1.973,2.02,1.57,25.92,80.17
34,臺北市,2017/11/28,中山,1.7,0.56,17.9,17.0,6,32,12.02,20.24,2.05,0.173,1.873,2.22,1.87,26.04,74.61
35,臺北市,2017/11/27,中山,2.9,0.52,22.5,26.0,7,31,8.58,22.24,2.02,0.154,1.861,2.48,2.14,21.76,88.8
36,臺北市,2017/11/26,中山,2.6,0.86,12.4,25.0,9,49,20.73,27.99,2.41,0.304,2.106,1.36,1.02,20.69,92.73
37,臺北市,2017/11/25,中山,2.3,0.8,15.8,17.0,8,54,24.17,30.14,2.3,0.269,2.031,1.45,1.13,18.62,97.28
38,臺北市,2017/11/23,中山,0.9,0.58,22.7,42.0,16,33,8.23,25.05,-,-,-,1.89,1.26,17.62,79.31
39,臺北市,2017/11/22,中山,1.8,0.82,11.7,16.0,4,43,18.37,24.16,2.28,0.26,2.024,1.46,0.92,20.37,92.2
40,臺北市,2017/11/21,中山,4.7,0.71,16.4,12.0,5,41,16.9,24.17,2.14,0.212,1.929,2.17,1.84,21.34,93.1
41,臺北市,2017/11/20,中山,2.3,0.48,19.6,11.0,5,32,10.31,21.39,2.04,0.15,1.884,2.08,1.83,19.08,95.95
42,臺北市,2017/11/19,中山,1.1,0.32,25.5,15.0,7,20,4.1,15.74,1.96,0.103,1.858,2.99,2.55,17.8,91.64
43,臺北市,2017/11/18,中山,1.8,0.57,23.4,35.0,17,27,6.47,20.73,2.15,0.191,1.961,1.99,1.36,22.09,82.56
44,臺北市,2017/11/17,中山,4.6,1.05,16.3,58.0,28,60,22.35,37.87,2.45,0.39,2.059,1.33,1.09,26.38,77.79
45,臺北市,2017/11/16,中山,3.2,0.61,21.4,20.0,11,33,9.81,23.21,2.06,0.173,1.882,2.08,1.7,25.8,82.12
