序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
46,臺北市,2017/11/15,中山,3.7,0.58,24.8,21.0,-,30,7.45,22.34,2.05,0.156,1.898,2.46,1.98,23.63,85.46
47,臺北市,2017/11/14,中山,3.8,0.61,14.3,16.0,6,36,11.56,24.87,2.13,0.193,1.94,1.88,1.54,23.06,94.26
48,臺北市,2017/11/13,中山,2.9,0.62,13.3,12.0,5,40,14.08,25.93,2.15,0.214,1.936,1.53,1.19,22.94,97.45
49,臺北市,2017/11/12,中山,1.9,0.37,25.4,16.0,7,21,5.19,15.48,1.98,0.114,1.862,2.76,2.36,21.94,91.77
50,臺北市,2017/11/11,中山,2.3,0.51,30.0,28.0,15,23,3.1,19.77,2.06,0.16,1.904,2.45,1.99,22.59,89.29
51,臺北市,2017/11/10,中山,1.9,0.52,19.9,23.0,11,30,11.41,18.55,2.01,0.163,1.851,2.06,1.67,27.14,77.08
52,臺北市,2017/11/09,中山,4.0,0.58,27.1,47.0,15,31,6.83,24.28,2.04,0.156,1.884,2.79,2.36,23.72,89.58
53,臺北市,2017/11/08,中山,0.9,0.52,23.1,19.0,6,27,6.44,20.92,2.02,0.154,1.865,2.09,1.58,24.2,86.83
54,臺北市,2017/11/07,中山,2.0,0.62,23.5,32.0,16,31,9.75,21.17,2.08,0.189,1.887,2.26,1.65,27.35,78.66
55,臺北市,2017/11/06,中山,1.9,0.53,22.4,22.0,10,30,9.73,20.04,2.02,0.151,1.866,2.51,2.11,25.69,79.15
56,臺北市,2017/11/05,中山,1.9,0.35,33.7,32.0,12,18,2.88,15.6,1.96,0.093,1.864,3.09,2.7,20.77,86.49
57,臺北市,2017/11/04,中山,0.7,0.4,40.6,43.0,17,21,4.02,17.19,1.97,0.099,1.868,2.42,1.86,19.97,85.58
58,臺北市,2017/11/03,中山,1.7,0.57,26.5,23.0,10,32,6.4,25.31,2.08,0.176,1.906,1.32,0.76,23.37,88.77
59,臺北市,2017/11/02,中山,4.6,0.74,10.6,24.0,11,41,15.11,26.29,2.25,0.252,1.999,1.25,0.75,25.75,82.91
60,臺北市,2017/11/01,中山,3.1,0.58,19.8,29.0,10,35,10.73,24.68,2.11,0.192,1.914,1.91,1.58,23.75,87.93
61,臺北市,2017/10/31,中山,2.0,0.52,18.9,27.0,7,35,10.81,24.43,2.05,0.182,1.869,1.79,1.55,21.3,78.86
62,臺北市,2017/10/30,中山,1.9,0.45,28.6,57.0,16,27,6.31,20.73,1.94,0.123,1.813,1.69,0.97,20.43,71.67
63,臺北市,2017/10/29,中山,1.0,0.51,46.9,64.0,24,21,4.08,16.59,1.99,0.129,1.863,1.71,1.0,22.43,72.15
64,臺北市,2017/10/28,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,臺北市,2017/10/27,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,臺北市,2017/10/26,中山,1.1,0.66,23.3,49.0,15,38,7.33,30.79,2.15,0.205,1.942,0.66,0.24,24.03,67.57
67,臺北市,2017/10/25,中山,2.2,0.61,29.8,50.0,14,33,6.17,27.12,2.09,0.177,1.911,0.77,0.35,23.96,68.24
68,臺北市,2017/10/24,中山,2.0,0.67,25.9,53.0,17,35,6.7,28.52,2.16,0.201,1.96,0.67,0.26,22.71,78.67
69,臺北市,2017/10/23,中山,2.2,0.84,27.0,68.0,29,40,10.15,29.81,2.26,0.242,2.018,0.63,0.23,22.68,69.58
70,臺北市,2017/10/22,中山,1.5,0.64,46.5,55.0,23,26,5.46,20.47,2.08,0.131,1.952,0.83,0.29,22.33,61.41
71,臺北市,2017/10/21,中山,1.4,0.68,30.4,42.0,16,36,9.15,26.95,2.11,0.164,1.948,0.68,0.28,22.42,79.17
72,臺北市,2017/10/20,中山,1.1,0.73,19.7,27.0,12,35,8.49,26.7,2.11,0.205,1.903,0.68,0.32,23.77,89.48
73,臺北市,2017/10/19,中山,2.8,0.62,16.1,22.0,11,36,10.86,25.03,2.07,0.186,1.886,0.64,0.24,24.72,92.6
74,臺北市,2017/10/18,中山,1.3,0.66,15.3,19.0,8,35,11.03,24.42,2.07,0.19,1.882,0.65,0.26,26.03,89.28
75,臺北市,2017/10/17,中山,1.3,0.51,17.7,20.0,7,25,6.51,18.03,1.99,0.146,1.846,0.77,0.32,27.22,87.12
76,臺北市,2017/10/16,中山,2.1,1.04,9.6,30.0,8,50,26.68,23.52,2.45,0.352,2.094,0.76,0.36,28.56,84.99
77,臺北市,2017/10/15,中山,2.2,0.88,4.8,16.0,8,53,33.78,19.62,2.31,0.304,2.002,0.6,0.34,26.38,98.83
78,臺北市,2017/10/14,中山,1.3,0.36,8.7,7.0,8,23,9.86,13.62,1.94,0.116,1.821,0.83,0.42,26.38,98.45
79,臺北市,2017/10/13,中山,1.4,0.41,23.8,25.0,9,21,5.93,15.28,1.97,0.131,1.835,1.0,0.36,25.56,92.96
80,臺北市,2017/10/12,中山,1.3,0.48,10.9,20.0,8,29,11.2,17.58,2.0,0.146,1.852,0.82,0.39,25.99,96.02
81,臺北市,2017/10/11,中山,3.1,0.46,8.4,27.0,10,29,13.57,15.15,2.17,0.333,1.836,1.02,0.57,29.27,81.78
82,臺北市,2017/10/10,中山,1.7,0.38,8.8,50.0,9,18,6.98,11.18,1.94,0.117,1.825,1.1,0.64,30.39,76.8
83,臺北市,2017/10/09,中山,1.2,0.37,8.7,26.0,6,18,8.02,9.84,1.94,0.092,1.847,1.25,0.77,30.45,75.57
84,臺北市,2017/10/08,中山,4.7,0.4,16.9,26.0,11,21,5.54,15.79,1.95,0.093,1.861,0.93,0.45,28.03,89.1
85,臺北市,2017/10/07,中山,3.5,0.45,20.0,40.0,13,25,5.24,19.4,2.0,0.109,1.892,0.96,0.5,27.39,88.73
86,臺北市,2017/10/06,中山,3.8,0.57,15.8,34.0,11,30,10.34,19.46,2.0,0.157,1.847,0.94,0.53,28.99,84.09
87,臺北市,2017/10/05,中山,4.5,0.51,21.8,44.0,11,29,8.69,20.33,1.99,0.137,1.852,1.03,0.61,28.75,77.67
88,臺北市,2017/10/04,中山,1.8,0.53,29.0,38.0,18,19,2.92,16.26,2.01,0.118,1.891,1.0,0.61,27.4,84.35
89,臺北市,2017/10/03,中山,2.8,0.63,22.2,63.0,25,29,5.82,23.03,2.11,0.197,1.916,0.91,0.47,30.72,74.11
90,臺北市,2017/10/02,中山,4.4,0.87,31.1,63.0,30,37,7.25,29.7,2.22,0.258,1.966,0.8,0.31,31.53,69.56
91,臺北市,2017/10/01,中山,1.6,0.55,31.9,34.0,18,22,3.49,18.63,2.07,0.146,1.927,0.84,0.29,31.48,66.01
92,臺北市,2017/09/30,中山,3.1,0.57,20.1,52.0,13,33,11.06,22.3,2.03,0.134,1.895,1.18,0.74,30.55,68.73
93,臺北市,2017/09/29,中山,3.7,0.58,26.3,45.0,17,29,6.24,22.27,2.04,0.131,1.906,1.0,0.53,29.73,78.96
94,臺北市,2017/09/28,中山,3.6,0.69,30.5,57.0,26,31,5.1,25.71,2.1,0.218,1.881,0.82,0.29,30.98,72.6
95,臺北市,2017/09/27,中山,3.8,0.72,26.8,47.0,22,37,8.46,28.71,2.13,0.234,1.9,0.93,0.38,32.25,65.16
96,臺北市,2017/09/26,中山,4.4,0.75,20.1,46.0,19,40,12.84,26.97,2.17,0.237,1.932,0.9,0.35,31.85,68.74
97,臺北市,2017/09/25,中山,4.1,0.63,17.9,44.0,14,31,9.61,21.01,2.05,0.174,1.877,0.9,0.35,30.99,72.29
98,臺北市,2017/09/24,中山,4.2,0.5,29.2,42.0,21,21,2.95,18.45,2.03,0.123,1.902,0.88,0.33,31.72,70.54
99,臺北市,2017/09/23,中山,1.7,0.39,15.5,28.0,10,21,5.65,14.92,1.93,0.092,1.833,0.94,0.44,32.52,67.28
100,臺北市,2017/09/22,中山,8.8,0.74,21.0,52.0,30,39,10.05,28.85,2.14,0.211,1.928,0.8,0.36,31.23,73.65
101,臺北市,2017/09/21,中山,6.7,0.73,31.3,49.0,27,39,7.94,30.6,2.16,0.215,1.942,0.83,0.34,31.26,68.41
102,臺北市,2017/09/20,中山,5.8,0.81,36.4,56.0,30,39,7.35,31.73,2.23,0.242,1.985,0.75,0.22,31.05,69.16
103,臺北市,2017/09/19,中山,2.1,0.67,38.2,49.0,24,30,5.17,25.2,2.16,0.193,1.966,0.72,0.26,30.25,-
104,臺北市,2017/09/18,中山,4.0,0.55,34.4,60.0,20,31,5.26,25.23,2.12,0.168,1.947,0.92,0.46,28.05,87.05
105,臺北市,2017/09/17,中山,2.3,0.48,51.1,94.0,24,21,1.21,20.26,2.1,0.142,1.962,0.94,0.58,28.51,82.46
106,臺北市,2017/09/16,中山,3.4,0.7,29.2,40.0,19,34,8.02,26.0,2.16,0.206,1.949,0.89,0.35,29.91,74.26
107,臺北市,2017/09/15,中山,3.9,1.21,14.2,46.0,19,60,24.63,35.82,2.39,0.401,1.986,0.81,0.34,30.23,66.6
108,臺北市,2017/09/14,中山,2.7,0.85,22.1,44.0,19,42,12.69,29.09,2.26,0.316,1.944,0.87,0.43,27.07,70.1
109,臺北市,2017/09/13,中山,0.8,0.74,23.6,38.0,16,36,11.99,24.32,2.11,0.173,1.933,0.73,0.21,27.28,75.75
110,臺北市,2017/09/12,中山,3.7,0.52,10.4,31.0,14,31,13.15,17.41,2.01,0.182,1.825,0.97,0.42,31.03,77.34
111,臺北市,2017/09/11,中山,3.1,0.68,20.5,40.0,17,35,10.6,24.82,2.1,0.226,1.874,0.82,0.28,30.53,69.93
112,臺北市,2017/09/10,中山,2.2,0.52,17.6,38.0,17,26,6.4,19.27,2.05,0.163,1.883,0.77,0.29,30.09,73.51
113,臺北市,2017/09/09,中山,2.6,0.63,15.0,38.0,20,30,7.29,22.28,2.09,0.165,1.922,0.77,0.25,29.98,72.02
114,臺北市,2017/09/08,中山,-,0.85,-,39.0,20,-,-,-,2.22,0.273,1.944,0.77,0.29,30.05,71.95
115,臺北市,2017/09/07,中山,3.6,0.73,15.9,44.0,20,37,12.39,24.5,2.11,0.227,1.88,0.82,0.36,31.16,68.59
116,臺北市,2017/09/06,中山,1.8,0.58,22.0,36.0,18,26,7.65,18.58,2.03,0.182,1.85,1.07,0.66,32.23,61.15
117,臺北市,2017/09/05,中山,3.9,0.73,9.6,41.0,14,36,14.53,21.33,2.17,0.235,1.932,0.85,0.48,31.25,59.55
118,臺北市,2017/09/04,中山,4.8,0.79,14.2,26.0,12,39,12.23,26.37,2.22,0.205,2.016,0.67,0.34,28.71,62.52
119,臺北市,2017/09/03,中山,2.4,0.53,14.7,21.0,7,31,7.62,23.26,2.12,0.165,1.957,0.66,0.35,26.15,71.69
120,臺北市,2017/09/02,中山,1.7,0.48,24.2,20.0,8,25,4.3,21.09,2.02,0.108,1.911,0.95,0.65,26.92,71.68
121,臺北市,2017/09/01,中山,2.2,0.6,26.1,32.0,13,31,6.12,25.32,2.05,0.157,1.891,1.08,0.66,27.99,72.59
122,臺北市,2017/08/31,中山,2.9,0.48,17.3,55.0,14,24,6.98,17.43,1.96,0.105,1.852,1.07,0.6,30.68,71.44
123,臺北市,2017/08/30,中山,2.9,0.49,6.9,35.0,8,27,12.73,13.77,1.95,0.107,1.843,0.97,0.58,31.2,71.96
124,臺北市,2017/08/29,中山,3.9,0.44,7.3,25.0,9,25,11.75,12.84,1.91,0.107,1.805,1.03,0.62,31.84,69.79
125,臺北市,2017/08/28,中山,4.4,0.56,11.5,28.0,12,29,11.01,18.26,2.02,0.158,1.857,0.92,0.46,31.4,65.36
126,臺北市,2017/08/27,中山,2.1,0.44,30.2,26.0,-,20,4.11,16.32,1.98,0.119,1.861,0.93,0.41,30.89,71.92
127,臺北市,2017/08/26,中山,2.2,0.34,7.4,32.0,9,18,8.13,9.74,1.91,0.11,1.802,1.39,0.92,32.25,67.06
128,臺北市,2017/08/25,中山,2.5,0.5,15.0,27.0,12,27,10.01,17.42,2.01,0.153,1.862,1.03,0.6,31.5,63.66
129,臺北市,2017/08/24,中山,2.7,0.66,17.8,32.0,18,33,8.16,24.95,2.12,0.199,1.917,0.78,0.28,30.42,70.08
130,臺北市,2017/08/23,中山,2.6,0.6,16.2,21.0,8,30,10.87,19.58,2.01,0.176,1.831,0.93,0.35,30.9,72.06
131,臺北市,2017/08/21,中山,3.8,0.48,7.6,27.0,13,26,12.22,13.8,1.94,0.15,1.79,0.94,0.55,31.15,72.54
132,臺北市,2017/08/20,中山,6.8,0.48,29.9,38.0,21,24,4.08,19.83,1.99,0.139,1.85,0.93,0.39,31.97,68.8
133,臺北市,2017/08/19,中山,4.9,0.58,32.3,52.0,31,29,4.88,24.29,2.09,0.215,1.878,0.74,0.3,31.28,73.96
134,臺北市,2017/08/18,中山,3.6,0.66,27.3,44.0,25,34,9.23,25.05,2.07,0.203,1.87,0.8,0.31,32.05,67.76
135,臺北市,2017/08/17,中山,4.5,0.65,17.0,42.0,21,35,7.64,27.12,2.08,0.216,1.86,0.74,0.3,31.3,73.58
136,臺北市,2017/08/16,中山,5.0,0.59,19.5,34.0,16,34,10.55,23.34,2.0,0.181,1.819,0.88,0.37,31.9,71.8
137,臺北市,2017/08/15,中山,3.5,0.64,18.9,36.0,16,31,10.33,20.71,2.04,0.205,1.838,0.9,0.29,32.28,68.91
138,臺北市,2017/08/14,中山,3.2,0.65,17.5,49.0,15,29,9.56,19.53,2.04,0.177,1.862,0.9,0.34,32.23,69.94
139,臺北市,2017/08/13,中山,3.6,0.5,20.3,45.0,22,25,5.32,19.45,2.01,0.127,1.878,0.86,0.35,32.12,73.37
140,臺北市,2017/08/12,中山,-,0.62,18.9,46.0,19,28,7.62,20.6,2.08,0.172,1.906,0.84,0.32,32.58,70.94
141,臺北市,2017/08/11,中山,3.4,0.75,20.2,37.0,16,37,12.33,24.77,2.13,0.253,1.875,0.91,0.36,32.65,69.78
142,臺北市,2017/08/10,中山,3.6,0.66,15.6,37.0,14,30,12.88,17.18,2.04,0.216,1.825,1.2,0.51,33.05,64.28
143,臺北市,2017/08/09,中山,2.6,0.69,16.6,40.0,13,31,14.05,17.4,2.02,0.204,1.819,1.13,0.41,33.18,62.64
144,臺北市,2017/08/08,中山,2.6,0.76,15.1,37.0,12,37,16.39,20.3,2.05,0.214,1.833,0.97,0.36,32.98,63.68
145,臺北市,2017/08/07,中山,4.3,0.72,22.8,42.0,17,32,11.1,20.54,2.05,0.208,1.845,0.99,0.31,33.37,62.19
146,臺北市,2017/08/06,中山,2.8,0.64,21.3,45.0,19,25,8.49,16.56,2.03,0.162,1.872,0.91,0.28,33.1,62.22
147,臺北市,2017/08/05,中山,2.4,0.72,20.6,49.0,21,31,10.58,20.19,2.07,0.172,1.901,0.94,0.36,32.19,60.46
148,臺北市,2017/08/04,中山,2.7,0.92,15.3,53.0,21,40,10.1,29.79,2.24,0.288,1.956,0.72,0.27,30.19,65.53
149,臺北市,2017/08/03,中山,3.0,0.79,22.3,39.0,16,32,5.98,26.48,2.2,0.25,1.951,0.76,0.33,30.13,65.23
150,臺北市,2017/08/02,中山,3.4,0.88,18.8,45.0,16,40,10.38,29.54,2.27,0.312,1.958,0.69,0.25,29.41,69.81
151,臺北市,2017/08/01,中山,4.6,0.85,16.2,35.0,15,42,11.78,30.15,2.16,0.264,1.897,0.65,0.22,30.59,66.22
152,臺北市,2017/07/31,中山,3.3,0.79,13.6,23.0,7,40,14.56,25.53,2.13,0.267,1.865,0.85,0.43,29.45,70.14
153,臺北市,2017/07/30,中山,1.2,0.23,22.1,22.0,6,10,2.56,7.29,1.82,0.041,1.775,1.64,1.15,31.47,65.44
154,臺北市,2017/07/29,中山,2.3,0.29,13.3,28.0,9,25,14.34,11.09,1.81,0.047,1.764,1.47,0.78,29.31,69.28
155,臺北市,2017/07/28,中山,2.6,0.5,6.9,27.0,9,29,14.49,14.24,1.9,0.146,1.752,0.96,0.5,31.37,69.42
156,臺北市,2017/07/27,中山,-,0.5,-,-,-,-,-,-,1.95,0.147,1.802,0.86,0.43,31.14,67.79
157,臺北市,2017/07/26,中山,4.3,0.71,30.2,45.0,24,33,6.06,27.36,2.11,0.232,1.874,0.79,0.27,31.17,70.44
158,臺北市,2017/07/25,中山,7.1,0.64,26.2,38.0,22,32,7.87,24.24,2.0,0.167,1.834,0.91,0.43,31.9,67.9
159,臺北市,2017/07/24,中山,3.9,0.66,24.7,41.0,23,29,6.17,22.4,2.01,0.168,1.84,0.86,0.33,31.85,71.27
160,臺北市,2017/07/23,中山,2.3,0.43,29.7,30.0,16,21,4.21,16.85,1.92,0.122,1.8,0.97,0.3,32.03,72.25
161,臺北市,2017/07/22,中山,1.2,0.4,6.5,41.0,7,21,10.15,11.06,1.91,0.135,1.776,1.17,0.69,32.35,66.41
162,臺北市,2017/07/21,中山,3.4,0.55,23.5,30.0,16,27,8.88,18.58,1.99,0.166,1.822,1.01,0.45,32.1,68.0
163,臺北市,2017/07/20,中山,4.6,0.57,19.2,33.0,16,29,8.81,20.13,1.98,0.175,1.805,0.89,0.33,32.47,62.93
164,臺北市,2017/07/19,中山,4.7,0.6,14.5,40.0,12,31,10.47,20.53,1.99,0.159,1.835,0.83,0.3,32.23,61.71
165,臺北市,2017/07/17,中山,3.5,0.65,14.7,29.0,13,35,11.92,22.73,2.04,0.207,1.838,0.78,0.3,31.7,66.71
166,臺北市,2017/07/16,中山,1.5,0.35,11.7,44.0,7,17,5.73,11.69,1.87,0.116,1.758,1.09,0.61,32.04,63.43
167,臺北市,2017/07/15,中山,2.2,0.44,11.4,22.0,10,25,9.78,15.05,1.93,0.149,1.784,0.85,0.43,31.87,61.93
168,臺北市,2017/07/14,中山,4.0,0.56,15.8,33.0,14,32,10.82,20.8,1.98,0.194,1.787,0.77,0.25,31.51,61.6
169,臺北市,2017/07/13,中山,1.6,0.69,24.0,37.0,16,32,9.55,22.2,2.07,0.19,1.875,0.81,0.24,31.38,60.96
170,臺北市,2017/07/12,中山,3.6,0.73,19.5,39.0,18,34,8.59,24.91,2.1,0.256,1.841,0.78,0.23,30.93,63.05
171,臺北市,2017/07/11,中山,-,1.24,15.2,44.0,19,56,20.41,35.36,2.45,0.47,1.981,0.65,0.29,30.1,64.5
172,臺北市,2017/07/10,中山,8.3,0.9,3.1,-,-,50,22.95,27.47,2.16,0.221,1.939,-,-,-,-
173,臺北市,2017/07/07,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
174,臺北市,2017/07/06,中山,2.4,0.59,12.7,23.0,10,31,11.56,19.39,2.03,0.226,1.806,1.86,1.32,31.04,60.75
175,臺北市,2017/07/05,中山,2.6,0.55,16.1,24.0,10,28,8.92,19.57,2.02,0.216,1.807,1.59,0.99,30.26,61.07
176,臺北市,2017/07/04,中山,1.7,0.61,21.1,29.0,-,32,9.07,22.89,2.07,0.212,1.858,1.83,1.25,29.19,62.3
177,臺北市,2017/07/01,中山,2.5,0.59,26.4,32.0,18,29,5.92,23.08,2.06,0.204,1.857,1.6,1.24,29.21,59.69
178,臺北市,2017/06/30,中山,4.6,0.83,21.4,41.0,-,43,9.73,33.19,2.24,0.352,1.886,1.47,0.88,29.7,58.57
179,臺北市,2017/06/29,中山,3.3,0.67,26.0,40.0,-,35,11.21,23.93,2.07,0.243,1.823,1.82,1.04,30.91,63.19
180,臺北市,2017/06/28,中山,4.4,0.59,27.7,36.0,18,30,6.73,23.26,2.01,0.213,1.799,1.91,1.17,31.0,60.89
181,臺北市,2017/06/27,中山,3.3,0.57,15.5,37.0,12,30,10.33,19.91,2.0,0.201,1.795,2.02,1.21,30.9,59.92
182,臺北市,2017/06/26,中山,2.4,0.61,19.4,27.0,11,31,10.77,19.88,1.98,0.207,1.777,1.93,1.39,32.09,63.91
183,臺北市,2017/06/25,中山,2.7,0.55,15.0,26.0,11,29,11.33,17.42,1.95,0.165,1.783,2.02,1.53,31.8,64.82
