序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
1,臺北市,2016/12/31,中山,2.1,0.5,21.9,27.0,10,28,6.55,20.95,2.06,0.151,1.911,2.35,2.01,21.07,80.87
2,臺北市,2016/12/30,中山,3.1,0.64,20.1,46.0,21,39,11.49,27.63,2.1,0.188,1.912,2.8,2.57,18.63,72.04
3,臺北市,2016/12/29,中山,1.3,0.48,24.2,29.0,13,31,8.17,22.4,2.04,0.143,1.894,2.09,1.59,16.47,73.76
4,臺北市,2016/12/28,中山,1.9,0.51,19.5,22.0,8,37,12.16,24.94,2.08,0.164,1.92,2.08,1.84,15.64,80.42
5,臺北市,2016/12/27,中山,2.1,0.65,16.1,24.0,13,30,9.66,20.39,2.13,0.175,1.949,2.03,0.87,17.51,77.71
6,臺北市,2016/12/26,中山,3.9,0.9,26.3,50.0,26,51,17.14,34.26,2.28,0.281,1.997,1.77,1.26,23.6,75.4
7,臺北市,2016/12/25,中山,1.5,0.49,26.1,28.0,11,24,5.99,17.95,2.02,0.122,1.898,2.58,2.34,23.35,68.59
8,臺北市,2016/12/24,中山,1.1,0.54,31.2,46.0,21,26,5.89,19.74,2.04,0.133,1.903,3.08,2.83,19.87,66.61
9,臺北市,2016/12/23,中山,3.3,0.8,32.5,71.0,42,31,7.21,23.57,2.2,0.171,2.028,2.99,2.62,19.12,66.45
10,臺北市,2016/12/22,中山,1.7,0.88,15.1,32.0,20,43,16.41,26.13,2.27,0.286,1.98,1.78,1.19,21.88,85.23
11,臺北市,2016/12/21,中山,3.0,0.7,23.5,42.0,22,37,10.26,26.48,2.17,0.239,1.931,2.0,1.55,26.16,74.01
