序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
12,臺北市,2016/12/20,中山,0.7,0.55,17.7,13.0,5,32,11.12,21.0,2.07,0.18,1.885,2.54,2.27,25.3,76.06
13,臺北市,2016/12/19,中山,2.2,0.82,12.0,17.0,7,51,22.12,29.11,2.41,0.306,2.1,1.95,1.55,23.18,72.4
14,臺北市,2016/12/18,中山,1.1,0.61,21.2,21.0,7,37,10.96,26.43,2.25,0.204,2.042,1.77,1.46,22.34,62.99
15,臺北市,2016/12/17,中山,1.7,0.5,24.5,33.0,15,28,5.87,22.11,2.08,0.159,1.921,2.79,2.6,18.91,63.5
16,臺北市,2016/12/16,中山,1.4,0.57,24.1,43.0,22,35,10.2,24.42,2.05,0.151,1.898,2.07,0.99,15.75,60.5
17,臺北市,2016/12/15,中山,1.9,0.54,24.9,43.0,22,28,6.95,20.84,2.04,0.143,1.893,1.8,0.66,15.8,70.29
18,臺北市,2016/12/14,中山,2.2,0.59,23.5,30.0,12,30,8.66,21.58,2.07,0.159,1.911,1.55,0.8,19.39,73.07
19,臺北市,2016/12/13,中山,2.2,0.7,16.0,41.0,21,41,11.48,29.41,2.22,0.236,1.986,1.42,0.82,21.04,79.91
20,臺北市,2016/12/12,中山,3.3,0.77,22.3,37.0,23,43,12.93,30.16,2.28,0.265,2.019,1.53,0.99,22.36,78.87
21,臺北市,2016/12/11,中山,1.6,0.39,28.0,30.0,12,24,3.67,20.37,1.99,0.111,1.881,2.58,2.18,20.54,84.91
22,臺北市,2016/12/10,中山,1.1,0.47,36.9,48.0,22,22,2.8,18.99,2.01,0.121,1.889,2.83,2.54,21.73,79.81
23,臺北市,2016/12/09,中山,1.9,0.52,24.1,23.0,8,32,7.78,23.92,2.05,0.168,1.879,2.42,2.07,21.95,76.74
24,臺北市,2016/12/08,中山,4.6,0.5,21.7,26.0,8,34,9.65,24.4,2.03,0.161,1.871,2.38,2.05,21.1,81.05
25,臺北市,2016/12/07,中山,4.0,0.47,26.8,36.0,16,31,7.73,22.79,2.01,0.14,1.873,2.82,2.52,20.61,72.98
26,臺北市,2016/12/06,中山,2.8,0.65,28.8,76.0,41,31,6.34,25.12,2.12,0.176,1.941,1.96,1.25,20.66,67.61
27,臺北市,2016/12/05,中山,1.8,0.59,23.6,34.0,16,31,7.7,22.92,2.07,0.165,1.909,2.02,1.68,22.91,80.4
28,臺北市,2016/12/02,中山,2.9,0.52,24.6,41.0,24,30,7.63,22.69,2.01,0.142,1.868,2.82,2.54,20.31,83.22
29,臺北市,2016/11/29,中山,1.5,0.51,26.1,61.0,21,27,7.32,20.17,2.02,0.133,1.887,3.2,2.87,21.7,69.75
30,臺北市,2016/11/27,中山,1.9,0.59,16.1,20.0,8,29,6.94,22.2,2.1,0.154,1.949,1.57,0.97,19.7,88.48
31,臺北市,2016/11/26,中山,1.1,0.6,22.3,18.0,8,30,9.05,21.15,2.11,0.181,1.928,1.95,1.56,23.68,81.06
32,臺北市,2016/11/25,中山,2.3,0.49,22.2,17.0,6,30,9.57,20.17,2.0,0.135,1.86,3.08,2.76,21.81,85.85
33,臺北市,2016/11/24,中山,1.9,0.48,18.5,12.0,5,28,9.56,18.55,2.01,0.142,1.866,2.81,2.46,19.33,86.93
34,臺北市,2016/11/23,中山,1.4,0.5,22.3,10.0,5,29,8.3,20.35,2.01,0.153,1.857,2.29,1.8,20.8,90.68
35,臺北市,2016/11/22,中山,2.5,0.59,13.1,17.0,6,38,11.37,26.64,2.05,0.196,1.852,1.91,1.63,23.54,88.94
36,臺北市,2016/11/21,中山,4.9,0.7,9.9,20.0,7,50,20.16,29.37,2.11,0.272,1.842,1.52,1.0,23.39,86.69
37,臺北市,2016/11/20,中山,4.3,0.5,14.3,23.0,14,31,9.29,22.17,2.03,0.175,1.853,2.17,1.7,25.44,78.6
38,臺北市,2016/11/19,中山,5.6,0.87,17.6,37.0,22,47,12.5,34.34,2.29,0.308,1.984,1.26,0.83,26.16,74.79
39,臺北市,2016/11/18,中山,2.5,0.92,12.4,25.0,13,56,28.91,27.53,2.28,0.317,1.966,1.45,1.06,26.07,72.67
40,臺北市,2016/11/17,中山,4.9,0.59,20.3,35.0,13,37,11.19,25.48,2.01,0.175,1.834,2.15,1.84,26.3,72.79
41,臺北市,2016/11/16,中山,3.7,0.52,30.3,47.0,16,27,7.1,20.29,1.96,0.131,1.824,2.78,2.48,24.59,76.58
42,臺北市,2016/11/15,中山,4.1,0.6,25.6,44.0,23,31,7.59,23.7,2.04,0.169,1.873,2.59,2.22,24.93,80.79
43,臺北市,2016/11/14,中山,4.4,0.96,31.4,59.0,45,45,9.4,35.72,2.37,0.322,2.049,1.47,0.9,25.99,79.79
44,臺北市,2016/11/13,中山,2.6,0.86,19.4,33.0,19,44,15.51,28.03,2.33,0.29,2.036,1.33,0.93,26.14,74.66
45,臺北市,2016/11/12,中山,3.2,0.87,24.5,38.0,21,48,14.83,32.92,2.22,0.269,1.954,1.39,0.9,25.07,66.35
46,臺北市,2016/11/11,中山,2.0,0.55,26.4,31.0,11,32,7.5,24.04,2.02,0.155,1.864,2.54,2.16,21.93,72.03
47,臺北市,2016/11/10,中山,1.7,0.63,15.7,19.0,10,41,13.65,26.96,2.12,0.215,1.901,1.64,1.28,20.12,91.46
48,臺北市,2016/11/09,中山,1.8,0.5,21.5,28.0,11,32,9.85,22.41,1.98,0.146,1.835,2.3,1.95,20.31,78.98
49,臺北市,2016/11/08,中山,1.4,0.73,17.9,28.0,18,35,9.78,25.15,2.15,0.235,1.917,1.75,0.81,23.74,77.9
50,臺北市,2016/11/07,中山,1.6,0.56,21.6,24.0,9,33,10.99,22.23,2.0,0.178,1.824,2.02,1.8,26.52,65.45
51,臺北市,2016/11/06,中山,2.7,0.5,19.1,26.0,16,27,7.04,20.38,2.06,0.159,1.903,1.7,1.32,25.53,75.08
52,臺北市,2016/11/05,中山,5.7,0.64,20.8,35.0,16,38,9.68,28.06,2.11,0.2,1.912,1.43,1.14,24.48,77.04
53,臺北市,2016/11/04,中山,4.2,0.6,20.8,31.0,19,38,9.83,27.91,2.05,0.183,1.865,2.29,2.09,22.13,87.5
54,臺北市,2016/11/03,中山,2.6,0.48,25.3,39.0,14,31,7.69,23.54,1.99,0.153,1.84,2.52,2.15,21.65,75.55
55,臺北市,2016/11/02,中山,1.5,0.44,28.2,31.0,8,26,7.12,18.66,1.93,0.121,1.804,2.46,2.1,21.11,74.07
56,臺北市,2016/11/01,中山,0.9,0.47,28.7,26.0,9,24,7.01,17.07,1.94,0.12,1.823,2.37,1.98,22.71,78.39
57,臺北市,2016/10/31,中山,2.6,0.43,27.4,27.0,9,24,6.37,17.72,1.94,0.122,1.814,2.53,2.23,24.31,77.9
58,臺北市,2016/10/30,中山,3.8,0.37,27.4,30.0,11,20,3.95,16.54,1.91,0.088,1.824,3.01,2.62,23.15,78.64
59,臺北市,2016/10/29,中山,2.0,0.43,29.7,23.0,12,21,4.48,16.3,1.91,0.093,1.811,2.88,2.59,24.65,86.72
60,臺北市,2016/10/28,中山,5.8,0.81,24.9,66.0,45,40,10.26,29.56,2.21,0.25,1.958,1.72,1.18,28.59,79.94
61,臺北市,2016/10/27,中山,3.8,0.87,27.7,75.0,41,40,8.17,31.74,2.22,0.285,1.932,1.57,0.92,28.79,78.32
62,臺北市,2016/10/26,中山,5.3,0.86,38.1,72.0,40,46,8.38,37.41,2.23,0.29,1.937,1.73,1.23,29.54,74.95
63,臺北市,2016/10/25,中山,3.7,0.7,37.0,51.0,24,42,9.71,32.49,2.11,0.215,1.898,1.76,1.14,29.15,72.89
64,臺北市,2016/10/24,中山,3.2,0.47,21.9,31.0,8,24,7.32,16.99,1.95,0.152,1.793,2.6,2.31,27.35,77.98
65,臺北市,2016/10/23,中山,1.9,0.6,17.2,32.0,16,34,15.62,18.75,2.06,0.178,1.886,2.02,1.42,28.48,79.97
66,臺北市,2016/10/22,中山,6.2,0.78,16.7,43.0,21,55,21.21,33.45,2.2,0.284,1.915,1.43,0.78,29.32,80.63
67,臺北市,2016/10/21,中山,2.1,0.65,15.0,28.0,11,34,13.73,20.47,2.02,0.22,1.796,2.19,1.69,31.11,70.26
68,臺北市,2016/10/19,中山,2.1,0.41,10.6,17.0,7,25,13.15,11.91,1.88,0.123,1.76,3.26,2.96,29.25,75.4
69,臺北市,2016/10/18,中山,1.9,0.44,7.9,14.0,5,27,14.19,12.72,1.87,0.131,1.742,2.88,2.51,28.57,79.49
70,臺北市,2016/10/17,中山,1.8,0.39,7.2,13.0,5,25,16.14,9.34,1.85,0.11,1.741,2.84,2.5,28.28,81.89
71,臺北市,2016/10/16,中山,1.2,0.31,10.4,13.0,5,18,8.49,9.36,1.84,0.084,1.756,2.96,2.62,28.98,77.61
72,臺北市,2016/10/15,中山,1.8,0.44,16.7,21.0,7,25,7.82,17.59,1.96,0.138,1.823,2.25,2.07,26.93,92.39
73,臺北市,2016/10/14,中山,0.9,0.58,24.4,44.0,19,44,12.32,31.18,1.99,0.159,1.83,1.74,1.09,26.23,83.32
74,臺北市,2016/10/13,中山,2.0,0.55,25.1,37.0,12,37,11.25,25.69,2.0,0.164,1.833,1.91,1.48,25.29,83.93
75,臺北市,2016/10/12,中山,1.8,0.51,21.5,13.0,5,31,8.14,22.75,1.99,0.149,1.836,2.03,1.73,24.55,91.45
76,臺北市,2016/10/11,中山,1.2,0.65,17.8,15.0,4,35,12.44,22.08,2.1,0.203,1.894,1.96,1.6,25.8,90.54
77,臺北市,2016/10/10,中山,1.7,0.71,17.0,15.0,6,39,9.95,28.64,2.24,0.265,1.977,1.55,1.21,24.08,93.62
78,臺北市,2016/10/09,中山,1.0,0.4,32.3,7.0,4,18,2.61,15.7,1.94,0.073,1.868,1.99,1.66,24.06,87.93
79,臺北市,2016/10/08,中山,1.8,0.74,16.9,25.0,12,45,18.88,26.26,2.19,0.233,1.958,1.58,0.92,27.08,87.81
80,臺北市,2016/10/07,中山,2.5,0.67,5.5,12.0,4,42,26.42,15.36,2.0,0.201,1.796,2.28,2.01,27.07,86.0
81,臺北市,2016/10/06,中山,2.9,0.41,7.3,14.0,4,27,15.13,11.6,1.84,0.099,1.745,3.01,2.63,28.98,76.68
82,臺北市,2016/10/05,中山,3.2,0.46,23.4,33.0,13,24,6.71,17.09,1.93,0.141,1.784,2.57,2.25,28.28,78.29
83,臺北市,2016/10/04,中山,1.8,0.72,23.8,33.0,15,32,8.06,23.79,2.13,0.217,1.912,2.16,1.47,28.54,70.62
84,臺北市,2016/10/03,中山,3.2,0.51,9.1,21.0,9,29,13.11,16.03,1.97,0.145,1.824,2.0,1.23,29.29,72.22
85,臺北市,2016/10/02,中山,3.0,0.31,11.3,19.0,6,21,9.91,10.96,1.85,0.088,1.762,2.1,1.72,29.98,67.53
86,臺北市,2016/10/01,中山,1.2,0.29,7.2,15.0,5,16,7.79,8.4,1.85,0.082,1.766,3.41,3.19,29.88,68.48
87,臺北市,2016/09/30,中山,2.6,0.79,15.0,39.0,20,41,14.79,25.76,2.24,0.27,1.967,1.59,1.08,29.44,74.7
88,臺北市,2016/09/29,中山,2.7,0.93,22.7,40.0,-,44,12.1,32.06,2.28,0.273,2.01,1.46,1.04,29.65,76.39
89,臺北市,2016/09/28,中山,1.1,0.5,37.5,44.0,24,20,4.79,14.76,2.0,0.103,1.902,3.57,3.25,30.1,74.43
90,臺北市,2016/09/27,中山,0.7,0.07,21.4,17.0,4,4,1.43,2.14,-,-,-,6.08,3.8,27.86,87.09
91,臺北市,2016/09/26,中山,1.9,0.37,8.2,25.0,9,23,12.04,10.76,1.84,0.085,1.756,1.91,1.0,28.31,84.14
92,臺北市,2016/09/25,中山,3.0,0.33,17.3,31.0,16,18,4.86,12.87,1.86,0.081,1.78,2.65,2.34,27.81,82.29
93,臺北市,2016/09/24,中山,3.5,0.4,31.8,35.0,16,20,3.47,16.59,1.9,0.106,1.792,2.76,2.44,27.26,76.71
94,臺北市,2016/09/23,中山,3.6,0.45,27.3,33.0,13,28,6.45,21.16,1.93,0.128,1.797,2.65,2.34,26.74,80.51
95,臺北市,2016/09/22,中山,3.3,0.43,22.9,33.0,10,25,7.42,17.21,1.9,0.118,1.784,2.64,2.36,27.12,80.62
96,臺北市,2016/09/21,中山,3.2,0.44,29.3,35.0,10,25,6.16,18.78,1.96,0.133,1.826,2.58,2.31,27.29,73.93
97,臺北市,2016/09/20,中山,2.7,0.51,32.3,42.0,16,27,4.57,21.94,1.97,0.138,1.836,2.23,1.79,26.13,77.45
98,臺北市,2016/09/19,中山,1.6,0.7,29.5,47.0,25,33,6.16,26.98,2.16,0.205,1.958,1.55,1.03,26.84,74.48
99,臺北市,2016/09/18,中山,2.4,0.74,19.2,30.0,12,38,13.1,24.78,2.17,0.164,2.003,1.69,0.92,26.07,86.03
100,臺北市,2016/09/17,中山,2.2,0.3,12.9,17.0,5,19,8.26,10.71,1.83,0.035,1.801,2.23,1.37,27.03,91.5
101,臺北市,2016/09/16,中山,2.5,0.37,7.2,19.0,6,20,11.08,9.16,1.94,0.123,1.82,2.05,1.7,30.56,68.75
102,臺北市,2016/09/15,中山,1.1,0.37,12.5,18.0,6,20,10.71,9.76,1.87,0.093,1.778,2.41,2.19,29.54,72.57
103,臺北市,2016/09/14,中山,1.0,0.26,14.1,16.0,5,16,7.99,7.78,1.78,0.036,1.745,4.97,4.51,28.57,78.74
104,臺北市,2016/09/13,中山,3.5,0.47,21.4,21.0,9,26,11.08,15.0,1.95,0.116,1.836,2.35,1.92,28.97,78.56
105,臺北市,2016/09/12,中山,2.6,0.69,18.4,32.0,16,33,8.52,24.32,2.11,0.171,1.936,1.6,1.21,27.91,85.07
106,臺北市,2016/09/11,中山,3.3,0.51,23.4,26.0,12,25,5.91,19.48,2.0,0.107,1.891,1.74,1.06,29.13,80.36
107,臺北市,2016/09/10,中山,2.8,0.73,12.0,21.0,9,41,13.53,27.55,2.15,0.193,1.957,1.3,0.97,27.4,87.89
108,臺北市,2016/09/09,中山,3.3,0.66,9.2,22.0,8,41,14.08,26.54,2.07,0.182,1.883,1.44,1.13,27.77,88.14
109,臺北市,2016/09/08,中山,2.6,0.66,11.4,28.0,8,36,11.51,24.2,2.1,0.208,1.89,1.72,1.04,29.96,72.51
110,臺北市,2016/09/07,中山,1.7,0.67,18.5,25.0,10,35,10.33,24.92,2.14,0.186,1.949,1.6,1.02,29.83,76.01
111,臺北市,2016/09/06,中山,2.8,0.6,10.2,21.0,10,31,11.76,19.61,2.06,0.132,1.926,1.84,1.16,28.57,83.32
112,臺北市,2016/09/05,中山,4.2,0.49,12.7,22.0,10,26,10.07,15.65,1.95,0.08,1.874,2.39,2.11,29.37,83.59
113,臺北市,2016/09/04,中山,5.0,0.43,29.4,28.0,14,21,4.73,16.19,1.94,0.036,1.899,2.36,1.89,30.05,78.32
114,臺北市,2016/09/03,中山,2.2,0.6,21.1,24.0,14,28,6.4,21.19,2.07,0.135,1.938,1.88,1.36,28.44,85.16
115,臺北市,2016/09/02,中山,5.4,0.8,23.8,-,26,44,10.83,33.3,2.24,0.272,1.962,1.62,0.98,29.49,70.11
116,臺北市,2016/09/01,中山,4.5,0.74,46.7,-,33,35,5.2,29.54,2.17,0.223,1.945,1.7,1.21,30.5,57.86
117,臺北市,2016/08/31,中山,3.7,0.7,58.4,-,27,33,4.31,28.87,2.19,0.221,1.972,1.69,1.0,29.66,57.4
118,臺北市,2016/08/30,中山,3.3,0.6,45.5,-,20,33,5.19,27.6,2.05,0.168,1.885,1.92,1.48,29.16,54.19
119,臺北市,2016/08/29,中山,2.5,0.57,48.5,-,-,27,3.72,23.33,2.09,0.153,1.936,1.92,1.58,28.44,61.55
120,臺北市,2016/08/28,中山,2.0,0.49,43.3,44.0,-,23,3.46,19.74,2.06,0.079,1.978,1.64,1.27,27.74,78.32
121,臺北市,2016/08/26,中山,3.1,0.57,21.7,32.0,-,30,8.41,21.43,2.02,0.147,1.873,2.03,1.25,31.52,67.37
122,臺北市,2016/08/25,中山,1.6,0.51,22.6,31.0,-,24,6.41,17.2,1.97,0.109,1.86,1.83,1.19,31.26,68.15
123,臺北市,2016/08/24,中山,2.0,0.5,24.9,34.0,20,26,6.25,19.48,1.97,0.104,1.866,1.88,1.42,31.57,67.44
124,臺北市,2016/08/23,中山,2.2,0.48,18.0,26.0,13,24,6.83,17.46,1.97,0.145,1.821,2.01,1.46,31.52,65.21
125,臺北市,2016/08/22,中山,5.2,0.44,18.6,26.0,15,26,10.62,14.89,1.91,0.09,1.815,2.03,1.65,31.47,63.64
126,臺北市,2016/08/21,中山,3.6,0.41,23.3,41.0,20,18,2.69,15.49,1.91,0.079,1.833,1.99,1.58,31.29,69.5
127,臺北市,2016/08/20,中山,4.8,0.53,34.7,40.0,17,23,2.38,20.86,1.99,0.145,1.844,1.85,1.29,30.68,71.15
128,臺北市,2016/08/19,中山,2.2,0.57,21.5,33.0,13,28,5.38,22.93,2.04,0.162,1.878,1.93,1.25,30.28,72.71
129,臺北市,2016/08/18,中山,2.9,0.6,18.4,22.0,7,29,8.59,20.68,2.03,0.155,1.871,1.97,1.03,30.81,70.88
130,臺北市,2016/08/17,中山,4.2,0.6,17.0,23.0,10,29,6.76,22.7,2.03,0.159,1.867,1.55,0.86,30.64,71.41
131,臺北市,2016/08/16,中山,3.0,0.55,29.6,31.0,17,24,3.86,20.5,1.98,0.173,1.805,1.87,1.29,31.12,69.74
132,臺北市,2016/08/15,中山,0.7,0.35,19.7,11.0,5,18,5.17,13.03,1.84,0.102,1.739,2.71,2.37,32.12,61.27
133,臺北市,2016/08/14,中山,1.1,0.3,22.1,17.0,5,16,3.44,12.45,1.9,0.104,1.797,2.69,2.45,31.8,60.6
134,臺北市,2016/08/13,中山,1.6,0.42,17.4,12.0,3,21,5.29,16.17,1.9,0.086,1.813,2.12,1.77,29.48,75.77
135,臺北市,2016/08/12,中山,1.6,0.47,16.1,17.0,6,23,6.94,16.19,1.94,0.106,1.835,2.4,2.04,31.04,71.44
136,臺北市,2016/08/11,中山,2.4,0.7,11.6,21.0,12,35,10.79,24.68,2.06,0.184,1.876,1.58,1.03,29.05,85.25
137,臺北市,2016/08/10,中山,3.2,0.45,13.0,21.0,9,26,11.92,14.45,1.92,0.097,1.818,2.26,1.82,31.02,75.2
138,臺北市,2016/08/09,中山,2.3,0.5,21.2,23.0,10,25,7.12,17.8,1.89,0.092,1.803,1.97,1.11,31.11,74.37
139,臺北市,2016/08/08,中山,2.8,0.46,16.9,18.0,7,22,7.94,14.5,1.94,0.104,1.838,2.15,1.25,30.83,71.66
140,臺北市,2016/08/07,中山,4.0,0.36,14.7,19.0,7,21,5.59,15.25,1.92,0.07,1.847,1.67,1.23,30.53,73.5
141,臺北市,2016/08/06,中山,4.3,0.49,26.1,39.0,24,23,4.09,19.34,1.96,0.103,1.853,1.97,1.28,30.95,74.22
142,臺北市,2016/08/05,中山,4.9,0.57,18.6,34.0,18,32,7.72,24.29,2.01,0.173,1.835,2.23,1.15,31.38,71.68
143,臺北市,2016/08/04,中山,4.4,0.58,19.6,30.0,14,31,9.55,21.64,2.02,0.175,1.842,2.06,1.09,31.97,65.24
144,臺北市,2016/08/03,中山,3.0,0.58,26.6,32.0,18,29,5.07,23.88,2.03,0.172,1.854,1.62,1.21,30.77,71.87
145,臺北市,2016/08/02,中山,3.0,0.51,19.1,26.0,10,27,6.82,19.9,1.99,0.165,1.829,1.77,1.17,31.02,71.11
146,臺北市,2016/08/01,中山,0.7,0.25,17.0,23.0,-,12,3.9,7.96,1.79,0.046,1.744,4.17,3.82,32.14,63.24
147,臺北市,2016/07/31,中山,3.1,0.29,15.3,23.0,-,17,5.72,11.18,1.81,0.042,1.766,2.73,2.33,31.46,71.73
148,臺北市,2016/07/30,中山,4.5,0.4,25.1,36.0,-,24,6.55,17.74,1.91,0.136,1.777,2.11,1.68,31.81,65.01
149,臺北市,2016/07/27,中山,3.2,0.68,24.4,35.0,-,34,11.5,22.03,2.03,0.224,1.806,1.88,1.26,32.65,60.48
150,臺北市,2016/07/26,中山,3.5,0.6,27.3,46.0,-,31,5.86,24.82,2.05,0.207,1.847,2.03,1.03,31.8,65.7
151,臺北市,2016/07/25,中山,4.2,0.49,25.7,36.0,-,26,6.12,19.63,1.93,0.141,1.784,1.99,1.36,31.23,67.97
152,臺北市,2016/07/24,中山,6.1,0.45,34.3,42.0,-,24,2.47,21.81,1.94,0.107,1.835,1.83,1.12,31.37,69.66
153,臺北市,2016/07/23,中山,4.9,0.46,38.1,44.0,-,25,3.93,21.15,1.96,0.149,1.815,2.11,1.25,31.91,65.58
154,臺北市,2016/07/22,中山,3.4,0.55,27.4,39.0,-,29,6.85,22.32,2.03,0.205,1.827,1.98,1.18,31.98,65.52
155,臺北市,2016/07/21,中山,2.5,0.61,24.9,40.0,-,29,6.25,22.67,2.01,0.184,1.824,1.71,1.08,30.95,71.93
156,臺北市,2016/07/20,中山,2.2,0.72,18.2,28.0,-,37,11.24,26.18,2.13,0.271,1.863,1.67,1.07,29.86,76.23
157,臺北市,2016/07/19,中山,2.7,0.8,16.3,34.0,-,42,17.37,25.02,2.22,0.336,1.882,1.63,0.82,29.5,73.73
158,臺北市,2016/07/18,中山,1.8,0.61,15.9,29.0,-,32,11.05,21.22,2.06,0.225,1.836,1.7,1.15,29.17,76.23
159,臺北市,2016/07/17,中山,2.7,0.44,22.8,36.0,-,22,3.93,17.79,1.98,0.15,1.828,1.88,1.19,31.22,71.87
160,臺北市,2016/07/16,中山,2.0,0.57,20.0,42.0,-,29,9.13,20.28,2.01,0.2,1.806,2.14,1.45,33.32,61.95
161,臺北市,2016/07/15,中山,2.7,0.76,19.1,41.0,-,37,14.72,22.75,2.07,0.272,1.796,2.04,1.55,32.62,64.51
162,臺北市,2016/07/14,中山,2.7,0.62,18.9,36.0,-,30,9.33,20.65,2.06,0.249,1.81,1.87,1.19,31.16,72.83
163,臺北市,2016/07/13,中山,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-
164,臺北市,2016/07/13,中山,3.4,0.66,22.9,35.0,-,37,9.03,27.56,2.13,0.236,1.893,1.45,0.77,30.75,74.5
165,臺北市,2016/07/12,中山,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-
166,臺北市,2016/07/12,中山,2.1,0.63,21.2,30.0,-,35,8.31,27.16,2.14,0.238,1.898,1.88,1.32,29.38,81.27
167,臺北市,2016/07/11,中山,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
168,臺北市,2016/07/11,中山,1.8,0.77,12.6,25.0,-,40,12.94,27.13,2.19,0.247,1.941,1.48,0.85,28.68,85.17
169,臺北市,2016/07/10,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
170,臺北市,2016/07/10,中山,1.8,0.64,13.2,23.0,-,35,11.15,24.1,2.17,0.171,2.002,1.47,0.84,28.61,87.38
171,臺北市,2016/07/09,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
172,臺北市,2016/07/09,中山,2.2,0.38,22.2,24.0,-,21,4.47,16.37,1.91,0.117,1.796,2.87,2.54,30.28,77.4
173,臺北市,2016/07/08,中山,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
174,臺北市,2016/07/08,中山,1.4,0.17,14.7,15.0,-,10,3.22,6.57,1.76,0.018,1.745,3.55,3.25,28.69,85.01
175,臺北市,2016/07/07,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
176,臺北市,2016/07/07,中山,4.0,0.33,6.4,25.0,-,21,11.45,9.82,1.81,0.091,1.722,2.51,2.22,29.75,82.07
177,臺北市,2016/07/06,中山,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
178,臺北市,2016/07/06,中山,1.3,0.32,9.8,19.0,-,19,9.99,9.04,1.83,0.113,1.72,3.5,3.09,32.52,64.51
179,臺北市,2016/07/05,中山,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-
180,臺北市,2016/07/05,中山,1.5,0.38,8.8,24.0,-,22,9.4,12.33,1.92,0.143,1.775,2.73,2.38,32.19,63.69
181,臺北市,2016/07/04,中山,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-
182,臺北市,2016/07/04,中山,2.5,0.75,15.6,36.0,-,36,10.07,26.33,2.22,0.275,1.946,1.64,0.89,30.75,72.62
183,臺北市,2016/07/03,中山,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
184,臺北市,2016/07/03,中山,2.1,0.59,24.1,33.0,-,30,6.01,23.55,2.08,0.199,1.883,1.61,0.84,29.69,75.56
185,臺北市,2016/07/02,中山,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-
186,臺北市,2016/07/02,中山,1.8,0.55,19.5,30.0,-,28,4.44,23.6,2.05,0.181,1.865,1.73,1.03,29.68,77.49
