name	description
mn_Report_2010.xml	2010年局屬地面測站每月氣象資料
mn_Report_2011.xml	2011年局屬地面測站每月氣象資料
mn_Report_2012.xml	2012年局屬地面測站每月氣象資料
mn_Report_2013.xml	2013年局屬地面測站每月氣象資料
mn_Report_2014.xml	2014年局屬地面測站每月氣象資料
mn_Report_2015.xml	2015年局屬地面測站每月氣象資料
mn_Report_2016.xml	2016年局屬地面測站每月氣象資料
mn_Report_2017.xml	2017年局屬地面測站每月氣象資料
mn_Report_2018.xml	2018年局屬地面測站每月氣象資料
